Gores Holdings IX PE Ratio Historical Data,Gores Holdings IX PE Ratio Historical Data,Gores Holdings IX PE Ratio Historical Data,Gores Holdings IX PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-11-07,10.59,,inf
2024-03-31,10.56,0.0,0.0
2023-12-31,10.5,0.0,0.0
2023-09-30,10.39,0.0,0.0
2023-06-30,10.25,0.0,0.0
2023-03-31,10.07,0.0,0.0
2022-12-31,9.87,0.0,0.0
