Super Micro Computer PE Ratio Historical Data,Super Micro Computer PE Ratio Historical Data,Super Micro Computer PE Ratio Historical Data,Super Micro Computer PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,39.1,,16.38
2024-12-31,30.48,$2.39,12.77
2024-09-30,41.64,$2.39,17.44
2024-06-30,81.94,$1.99,41.13
2024-03-31,101.0,$1.78,56.62
2023-12-31,28.43,$1.28,22.19
2023-09-30,27.42,$1.09,25.27
2023-06-30,24.93,$1.15,21.77
2023-03-31,10.66,$1.06,10.03
2022-12-31,8.21,$1.05,7.8
2022-09-30,5.51,$0.82,6.75
2022-06-30,4.04,$0.53,7.63
2022-03-31,3.81,$0.34,11.1
2021-12-31,4.4,$0.24,18.7
2021-09-30,3.66,$0.21,17.5
2021-06-30,3.52,$0.21,16.75
2021-03-31,3.91,$0.17,22.98
2020-12-31,3.17,$0.16,19.3
2020-09-30,2.64,$0.16,16.71
2020-06-30,2.84,$0.11,26.05
2020-03-31,2.13,$0.08,28.37
2019-12-31,1.57,$0.05,34.02
2019-09-30,1.57,0,0.0
2019-06-30,1.57,0,0.0
2019-03-31,1.57,0,0.0
2018-12-31,1.57,0,0.0
2018-09-30,1.57,0,0.0
2018-06-30,2.37,0,0.0
2018-03-31,1.7,$0.03,51.52
2017-12-31,2.09,$0.07,32.19
2017-09-30,2.21,$0.11,20.46
2017-06-30,2.47,$0.13,18.4
2017-03-31,2.54,$0.11,22.24
2016-12-31,2.81,$0.11,24.61
2016-09-30,2.34,$0.14,16.93
2016-06-30,2.49,$0.15,16.35
2016-03-31,3.41,$0.19,17.94
2015-12-31,2.45,$0.20,12.13
2015-09-30,2.73,$0.20,13.91
2015-06-30,2.96,$0.20,14.94
2015-03-31,3.32,$0.18,18.35
2014-12-31,3.49,$0.17,20.28
2014-09-30,2.94,$0.14,20.87
2014-06-30,2.53,$0.12,21.78
2014-03-31,1.74,$0.10,17.2
2013-12-31,1.72,$0.08,20.93
2013-09-30,1.35,$0.06,21.49
2013-06-30,1.06,$0.05,22.17
2013-03-31,1.13,$0.04,27.54
2012-12-31,1.02,$0.04,24.88
2012-09-30,1.2,$0.05,24.06
2012-06-30,1.59,$0.07,23.67
2012-03-31,1.75,$0.08,22.1
2011-12-31,1.57,$0.09,17.82
2011-09-30,1.25,$0.10,13.05
2011-06-30,1.61,$0.09,17.12
2011-03-31,1.6,$0.09,18.23
2010-12-31,1.15,$0.08,14.25
2010-09-30,1.04,$0.07,14.43
2010-06-30,1.35,$0.07,20.77
2010-03-31,1.73,$0.05,32.6
2009-12-31,1.11,$0.04,29.26
