Calidi Biotherapeutics PE Ratio Historical Data,Calidi Biotherapeutics PE Ratio Historical Data,Calidi Biotherapeutics PE Ratio Historical Data,Calidi Biotherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.79,,0.0
2024-09-30,1.14,$-4.05,0.0
2024-06-30,0.2,$-4.80,0.0
2024-03-31,0.57,$-3.40,0.0
2023-12-31,1.51,$-1.40,0.0
2023-09-30,3.33,$-1.40,0.0
2023-06-30,10.49,0,0.0
2023-03-31,10.27,0,0.0
2022-12-31,10.17,0,0.0
2022-09-30,9.85,0,0.0
