Churchill Downs PE Ratio Historical Data,Churchill Downs PE Ratio Historical Data,Churchill Downs PE Ratio Historical Data,Churchill Downs PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,112.01,,19.72
2024-12-31,133.54,$5.68,23.51
2024-09-30,134.81,$5.49,24.56
2024-06-30,139.19,$5.42,25.68
2024-03-31,123.39,$4.49,27.48
2023-12-31,134.53,$5.46,24.66
2023-09-30,115.32,$4.71,24.48
2023-06-30,138.31,$4.67,29.65
2023-03-31,127.73,$7.20,17.74
2022-12-31,105.06,$5.70,18.45
2022-09-30,91.21,$6.24,14.63
2022-06-30,94.87,$6.28,15.12
2022-03-31,109.85,$3.26,33.7
2021-12-31,119.32,$3.18,37.58
2021-09-30,118.57,$2.84,41.82
2021-06-30,97.91,$2.59,37.8
2021-03-31,112.32,$-0.29,0.0
2020-12-31,96.2,$-1.04,0.0
2020-09-30,80.63,$-1.21,0.0
2020-06-30,65.54,$-1.57,0.0
2020-03-31,50.67,$1.25,40.54
2019-12-31,67.53,$1.69,39.96
2019-09-30,60.49,$1.78,33.98
2019-06-30,56.38,$2.29,24.66
2019-03-31,44.23,$2.23,19.83
2018-12-31,39.84,$4.18,9.54
2018-09-30,45.08,$4.45,10.14
2018-06-30,48.14,$3.94,12.22
2018-03-31,39.62,$3.48,11.37
2017-12-31,37.78,$1.47,25.79
2017-09-30,33.26,$1.32,25.17
2017-06-30,29.57,$1.23,24.07
2017-03-31,25.62,$1.11,23.05
2016-12-31,24.27,$1.07,22.78
2016-09-30,23.41,$0.87,26.9
2016-06-30,20.21,$0.82,24.54
2016-03-31,23.65,$0.66,36.1
2015-12-31,22.63,$0.61,36.89
2015-09-30,21.23,$0.41,52.21
2015-06-30,19.84,$0.40,49.6
2015-03-31,18.24,$0.42,43.61
2014-12-31,15.12,$0.43,35.45
2014-09-30,15.31,$0.51,30.23
2014-06-30,14.15,$0.56,25.27
2014-03-31,14.34,$0.49,29.07
2013-12-31,14.08,$0.51,27.61
2013-09-30,13.45,$0.59,22.87
2013-06-30,12.26,$0.56,21.96
2013-03-31,10.89,$0.55,19.74
2012-12-31,10.33,$0.56,18.62
2012-09-30,9.64,$0.61,15.93
2012-06-30,9.03,$0.74,12.16
2012-03-31,8.59,$0.68,12.7
2011-12-31,8.01,$0.63,12.72
2011-09-30,5.93,$0.54,11.04
2011-06-30,6.85,$0.34,20.44
2011-03-31,6.3,$0.25,25.38
2010-12-31,6.59,$0.17,37.69
2010-09-30,5.36,$0.11,48.81
2010-06-30,4.93,$0.09,55.78
2010-03-31,5.63,$0.15,38.39
2009-12-31,5.61,$0.19,29.0
