Aditxt PE Ratio Historical Data,Aditxt PE Ratio Historical Data,Aditxt PE Ratio Historical Data,Aditxt PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.69,,0.0
2024-09-30,0.11,$-644.27,0.0
2024-06-30,1.37,"$-2,484.00",0.0
2024-03-31,3.4,"$-3,788.40",0.0
2023-12-31,6.63,"$-5,518.80",0.0
2023-09-30,12.49,"$-5,518.80",0.0
2023-06-30,0.45,"$-12,000.00",0.0
2023-03-31,0.91,"$-20,928.00",0.0
2022-12-31,1.15,"$-18,832.00",0.0
2022-09-30,3.39,"$-18,832.00",0.0
2022-06-30,7.16,"$-10,400.00",0.0
2022-03-31,22.83,0,0.0
2021-12-31,26.81,0,0.0
2021-09-30,84.5,0,0.0
2021-06-30,129.5,0,0.0
