GreenTree Hospitality Group PE Ratio Historical Data,GreenTree Hospitality Group PE Ratio Historical Data,GreenTree Hospitality Group PE Ratio Historical Data,GreenTree Hospitality Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.59,,3.75
2024-09-30,3.09,$0.69,4.48
2024-06-30,2.35,$0.77,3.06
2024-03-31,3.01,$0.41,7.35
2023-09-30,4.22,$0.37,11.41
2023-06-30,5.02,$0.26,19.3
2022-06-30,4.03,$0.21,19.19
2021-12-31,7.67,$0.31,24.75
2021-09-30,7.41,$0.40,18.52
2021-06-30,10.0,$0.47,21.28
2021-03-31,11.94,$0.49,24.36
2020-12-31,12.16,$0.37,32.87
2020-09-30,12.34,$0.35,35.24
2020-06-30,12.24,$0.37,33.07
2020-03-31,9.96,$0.41,24.29
2019-12-31,9.98,$0.63,15.85
2019-09-30,8.88,$0.60,14.8
2019-06-30,11.55,$0.68,16.98
2019-03-31,12.28,$0.64,19.19
2018-12-31,11.25,$0.60,18.76
