Casey's General Stores PE Ratio Historical Data,Casey's General Stores PE Ratio Historical Data,Casey's General Stores PE Ratio Historical Data,Casey's General Stores PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,394.84,,32.85
2025-01-31,421.77,$12.02,35.09
2024-10-31,393.52,$14.35,27.42
2024-07-31,386.84,$13.74,28.15
2024-04-30,318.76,$13.43,23.73
2024-01-31,270.3,$12.58,21.49
2023-10-31,270.42,$12.92,20.93
2023-07-31,250.88,$12.35,20.31
2023-04-30,226.82,$11.92,19.03
2023-01-31,233.46,$12.03,19.41
2022-10-31,229.92,$11.07,20.77
2022-07-31,199.9,$9.99,20.01
2022-04-30,198.19,$9.09,21.8
2022-01-31,184.59,$8.61,21.44
2021-10-31,187.91,$7.94,23.67
2021-07-31,193.6,$8.35,23.19
2021-04-30,217.2,$8.40,25.86
2021-01-31,182.99,$8.95,20.45
2020-10-31,164.24,$8.82,18.62
2020-07-31,154.8,$8.03,19.28
2020-04-30,146.94,$7.10,20.7
2020-01-31,155.79,$6.11,25.5
2019-10-31,165.09,$6.33,26.08
2019-07-31,156.2,$5.92,26.38
2019-04-30,127.43,$5.51,23.13
2019-01-31,123.62,$5.34,23.15
2018-10-31,120.88,$9.29,13.01
2018-07-31,104.61,$8.77,11.93
2018-04-30,92.14,$8.33,11.06
2018-01-31,115.21,$8.58,13.43
2017-10-31,108.75,$4.08,26.66
2017-07-31,101.1,$4.24,23.84
2017-04-30,105.88,$4.48,23.63
2017-01-31,108.32,$4.91,22.06
2016-10-31,106.3,$5.30,20.06
2016-07-31,125.37,$5.86,21.39
2016-04-30,104.96,$5.73,18.32
2016-01-31,112.92,$5.59,20.2
2015-10-31,99.16,$5.63,17.61
2015-07-31,95.22,$4.91,19.39
2015-04-30,76.39,$4.68,16.32
2015-01-31,84.66,$4.22,20.06
2014-10-31,75.75,$3.59,21.1
2014-07-31,61.08,$3.37,18.12
2014-04-30,63.19,$3.46,18.26
2014-01-31,63.03,$3.47,18.16
2013-10-31,66.72,$3.49,19.12
2013-07-31,60.48,$3.28,18.44
2013-04-30,52.74,$2.86,18.44
2013-01-31,49.7,$2.86,17.38
2012-10-31,46.67,$2.89,16.15
2012-07-31,53.64,$3.02,17.76
2012-04-30,50.72,$3.04,16.68
2012-01-31,45.73,$3.04,15.04
2011-10-31,44.35,$2.95,15.03
2011-07-31,40.16,$2.48,16.19
2011-04-30,34.71,$2.18,15.92
2011-01-31,37.66,$2.01,18.74
2010-10-31,36.63,$2.01,18.22
2010-07-31,33.68,$2.16,15.59
2010-04-30,33.93,$2.30,14.75
2010-01-31,26.89,$2.18,12.33
2009-10-31,27.56,$2.12,13.0
