Ondas Holdings PE Ratio Historical Data,Ondas Holdings PE Ratio Historical Data,Ondas Holdings PE Ratio Historical Data,Ondas Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.69,,0.0
2024-12-31,2.56,$-0.46,0.0
2024-09-30,0.77,$-0.72,0.0
2024-06-30,0.58,$-0.72,0.0
2024-03-31,0.97,$-0.76,0.0
2023-12-31,1.53,$-0.89,0.0
2023-09-30,0.61,$-1.53,0.0
2023-06-30,0.86,$-1.70,0.0
2023-03-31,1.08,$-1.79,0.0
2022-12-31,1.59,$-1.73,0.0
2022-09-30,3.7,$-0.93,0.0
2022-06-30,5.39,$-0.74,0.0
2022-03-31,7.3,$-0.57,0.0
2021-12-31,6.71,$-0.45,0.0
2021-09-30,9.16,$-0.35,0.0
2021-06-30,7.94,$-0.22,0.0
2021-03-31,9.69,$-0.12,0.0
