Aligos Therapeutics PE Ratio Historical Data,Aligos Therapeutics PE Ratio Historical Data,Aligos Therapeutics PE Ratio Historical Data,Aligos Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.52,,0.0
2024-12-31,39.84,$-7.82,0.0
2024-09-30,8.66,$-13.32,0.0
2024-06-30,0.35,$-20.50,0.0
2024-03-31,0.98,$-32.00,0.0
2023-12-31,0.66,$-39.75,0.0
2023-09-30,0.75,$-47.00,0.0
2023-06-30,0.97,$-47.75,0.0
2023-03-31,0.87,$-48.75,0.0
2022-12-31,0.95,$-56.50,0.0
2022-09-30,1.1,$-66.00,0.0
2022-06-30,1.21,$-74.50,0.0
2022-03-31,2.15,$-82.50,0.0
2021-12-31,11.87,$-80.00,0.0
2021-09-30,15.51,$-85.00,0.0
