3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data,3M PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,151.27,,20.04
2024-12-31,129.09,$7.55,17.1
2024-09-30,135.97,$7.92,17.17
2024-06-30,101.11,$1.70,59.47
2024-03-31,87.58,$-12.72,0.0
2023-12-31,88.81,$-12.63,0.0
2023-09-30,74.89,$-13.35,0.0
2023-06-30,78.88,$-2.84,0.0
2023-03-31,81.6,$9.65,8.46
2022-12-31,91.87,$10.15,9.05
2022-09-30,83.68,$11.48,7.29
2022-06-30,97.0,$7.16,13.55
2022-03-31,110.47,$9.61,11.5
2021-12-31,130.5,$10.12,12.9
2021-09-30,127.82,$10.19,12.54
2021-06-30,143.63,$10.17,14.12
2021-03-31,138.32,$9.80,14.11
2020-12-31,124.43,$9.25,13.45
2020-09-30,113.06,$8.53,13.25
2020-06-30,109.11,$8.82,12.37
2020-03-31,94.54,$8.52,11.1
2019-12-31,121.06,$7.81,15.5
2019-09-30,111.84,$8.42,13.28
2019-06-30,116.85,$8.28,14.11
2019-03-31,138.86,$9.43,14.72
2018-12-31,126.45,$8.90,14.21
2018-09-30,138.88,$7.48,18.57
2018-06-30,128.8,$7.23,17.81
2018-03-31,142.75,$6.74,21.18
2017-12-31,152.18,$7.92,19.21
2017-09-30,135.03,$8.95,15.09
2017-06-30,133.16,$8.77,15.18
2017-03-31,121.64,$8.27,14.71
2016-12-31,112.8,$8.16,13.82
2016-09-30,110.6,$7.94,13.93
2016-06-30,109.23,$7.84,13.93
2016-03-31,103.25,$7.78,13.27
2015-12-31,92.67,$7.58,12.23
2015-09-30,86.65,$7.73,11.21
2015-06-30,93.65,$7.66,12.23
2015-03-31,99.48,$7.55,13.18
2014-12-31,98.49,$7.49,13.15
2014-09-30,84.46,$7.30,11.57
2014-06-30,84.89,$7.10,11.96
2014-03-31,79.91,$6.90,11.58
2013-12-31,82.08,$6.72,12.21
2013-09-30,69.54,$6.51,10.68
2013-06-30,63.33,$6.38,9.93
2013-03-31,61.22,$6.33,9.67
2012-12-31,53.14,$6.31,8.42
2012-09-30,52.54,$6.25,8.41
2012-06-30,50.62,$6.12,8.27
2012-03-31,50.05,$6.06,8.26
2011-12-31,45.55,$5.96,7.64
2011-09-30,39.73,$5.88,6.76
2011-06-30,52.13,$5.89,8.85
2011-03-31,51.09,$5.83,8.76
2010-12-31,46.88,$5.63,8.33
2010-09-30,46.81,$5.66,8.27
2010-06-30,42.37,$5.48,7.73
2010-03-31,44.55,$5.06,8.8
2009-12-31,43.78,$4.51,9.71
