Franklin Financial Services PE Ratio Historical Data,Franklin Financial Services PE Ratio Historical Data,Franklin Financial Services PE Ratio Historical Data,Franklin Financial Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,36.51,,15.34
2024-12-31,29.9,$2.38,12.56
2024-09-30,29.84,$3.17,9.41
2024-06-30,27.73,$3.10,8.95
2024-03-31,25.42,$3.12,8.15
2023-12-31,30.31,$3.10,9.78
2023-09-30,27.11,$3.15,8.6
2023-06-30,26.1,$3.32,7.86
2023-03-31,27.53,$3.44,8.0
2022-12-31,33.21,$3.36,9.88
2022-09-30,28.75,$3.34,8.61
2022-06-30,27.2,$3.60,7.56
2022-03-31,30.11,$3.99,7.55
2021-12-31,29.26,$4.41,6.64
2021-09-30,27.82,$4.63,6.01
2021-06-30,27.7,$4.11,6.74
2021-03-31,26.76,$3.63,7.37
2020-12-31,22.96,$2.93,7.84
2020-09-30,17.93,$2.90,6.18
2020-06-30,21.46,$3.14,6.84
2020-03-31,22.51,$3.33,6.76
