Leslie's PE Ratio Historical Data,Leslie's PE Ratio Historical Data,Leslie's PE Ratio Historical Data,Leslie's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-12-31,2.23,$-0.15,0.0
2024-09-30,3.16,$-0.12,0.0
2024-06-30,4.19,$0.02,209.5
2024-03-31,6.5,$0.08,81.25
2023-12-31,6.91,$0.10,69.1
2023-09-30,5.66,$0.15,37.73
2023-06-30,9.39,$0.37,25.38
2023-03-31,11.01,$0.65,16.94
2022-12-31,12.21,$0.78,15.65
2022-09-30,14.71,$0.86,17.1
2022-06-30,15.18,$0.78,19.46
2022-03-31,19.36,$0.72,26.89
2021-12-31,23.66,$0.73,32.41
2021-09-30,20.54,$0.64,32.09
