Artivion PE Ratio Historical Data,Artivion PE Ratio Historical Data,Artivion PE Ratio Historical Data,Artivion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.2,,0.0
2024-12-31,28.59,$-0.31,0.0
2024-09-30,26.62,$-0.02,0.0
2024-06-30,25.65,$-0.21,0.0
2024-03-31,21.16,$-0.24,0.0
2023-12-31,17.88,$-0.75,0.0
2023-09-30,15.16,$-0.60,0.0
2023-06-30,17.19,$-0.70,0.0
2023-03-31,13.1,$-0.73,0.0
2022-12-31,12.12,$-0.48,0.0
2022-09-30,13.84,$-1.04,0.0
2022-06-30,18.88,$-0.44,0.0
2022-03-31,21.38,$-0.39,0.0
2021-12-31,20.35,$-0.39,0.0
2021-09-30,22.29,$0.03,743.0
2021-06-30,28.4,$-0.31,0.0
2021-03-31,22.58,$-0.35,0.0
2020-12-31,23.61,$-0.45,0.0
2020-09-30,18.47,$-0.38,0.0
2020-06-30,19.17,$-0.30,0.0
2020-03-31,16.92,$-0.13,0.0
2019-12-31,27.09,$0.04,677.25
2019-09-30,27.15,$0.01,2715.0
2019-06-30,29.93,$0.05,598.6
2019-03-31,29.17,$-0.01,0.0
2018-12-31,28.38,$-0.11,0.0
2018-09-30,35.2,$-0.15,0.0
2018-06-30,27.85,$-0.15,0.0
2018-03-31,20.05,$-0.07,0.0
2017-12-31,19.15,$0.10,191.5
2017-09-30,22.7,$0.28,81.07
2017-06-30,19.95,$0.33,60.45
2017-03-31,16.65,$0.31,53.71
2016-12-31,19.15,$0.33,58.03
2016-09-30,17.57,$0.33,53.24
2016-06-30,11.81,$0.31,38.1
2016-03-31,10.75,$0.22,48.86
2015-12-31,10.78,$0.13,82.92
2015-09-30,9.7,$0.10,97.02
2015-06-30,11.21,$0.11,101.93
2015-03-31,10.28,$0.21,48.95
2014-12-31,11.2,$0.26,43.08
2014-09-30,9.73,$0.51,19.08
2014-06-30,8.8,$0.54,16.29
2014-03-31,9.76,$0.53,18.41
2013-12-31,10.83,$0.57,19.0
2013-09-30,6.82,$0.33,20.66
2013-06-30,6.07,$0.28,21.67
2013-03-31,5.8,$0.33,17.57
2012-12-31,5.98,$0.29,20.62
2012-09-30,6.42,$0.29,22.13
2012-06-30,4.97,$0.30,16.56
2012-03-31,5.01,$0.25,20.02
2011-12-31,4.56,$0.27,16.89
2011-09-30,4.27,$0.28,15.23
2011-06-30,5.32,$0.10,53.2
2011-03-31,5.79,$0.13,44.57
2010-12-31,5.15,$0.14,36.78
2010-09-30,5.77,$0.14,41.19
2010-06-30,5.12,$0.32,16.0
2010-03-31,6.15,$0.31,19.83
2009-12-31,6.1,$0.31,19.67
