Anterix PE Ratio Historical Data,Anterix PE Ratio Historical Data,Anterix PE Ratio Historical Data,Anterix PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.2,,0.0
2024-12-31,30.67,$-1.63,0.0
2024-09-30,37.66,$-2.02,0.0
2024-06-30,39.59,$-1.22,0.0
2024-03-31,33.61,$-0.49,0.0
2023-12-31,33.32,$0.84,39.67
2023-09-30,31.38,$0.40,78.45
2023-06-30,31.69,$-0.27,0.0
2023-03-31,33.04,$-0.87,0.0
2022-12-31,32.17,$-2.29,0.0
2022-09-30,35.72,$-2.56,0.0
2022-06-30,41.07,$-2.67,0.0
2022-03-31,57.9,$-2.63,0.0
2021-12-31,58.76,$-2.65,0.0
2021-09-30,60.7,$-2.65,0.0
2021-06-30,59.99,$-2.92,0.0
2021-03-31,47.16,$-3.13,0.0
2020-12-31,37.6,$-2.51,0.0
2020-09-30,32.71,$-2.34,0.0
2020-06-30,45.34,$-1.86,0.0
2020-03-31,45.67,$-1.61,0.0
2019-12-31,43.21,$-2.26,0.0
2019-09-30,36.2,$-2.31,0.0
2019-06-30,47.0,$-2.66,0.0
2019-03-31,35.16,$-2.88,0.0
2018-12-31,37.39,$-2.84,0.0
2018-09-30,33.9,$-2.67,0.0
2018-06-30,24.95,$-2.43,0.0
2018-03-31,29.85,$-2.13,0.0
2017-12-31,32.1,$-2.49,0.0
2017-09-30,29.8,$-2.60,0.0
2017-06-30,23.3,$-2.57,0.0
2017-03-31,21.85,$-2.72,0.0
2016-12-31,22.55,$-2.22,0.0
2016-09-30,22.9,$-2.07,0.0
2016-06-30,21.39,$-1.91,0.0
2016-03-31,34.34,$-1.53,0.0
2015-12-31,27.5,$-1.50,0.0
