Nelnet PE Ratio Historical Data,Nelnet PE Ratio Historical Data,Nelnet PE Ratio Historical Data,Nelnet PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,114.01,,22.8
2024-12-31,106.81,$5.00,21.36
2024-09-30,112.99,$3.04,37.17
2024-06-30,100.36,$4.18,24.01
2024-03-31,94.18,$3.70,25.45
2023-12-31,87.5,$2.44,35.86
2023-09-30,88.29,$3.50,25.23
2023-06-30,95.1,$5.09,18.68
2023-03-31,90.32,$6.60,13.69
2022-12-31,88.96,$10.80,8.24
2022-09-30,77.42,$13.43,5.76
2022-06-30,83.11,$12.01,6.92
2022-03-31,82.62,$11.91,6.94
2021-12-31,94.68,$10.20,9.28
2021-09-30,76.59,$12.84,5.96
2021-06-30,72.52,$13.32,5.44
2021-03-31,69.91,$13.37,5.23
2020-12-31,68.26,$9.16,7.45
2020-09-30,57.55,$4.12,13.97
2020-06-30,45.46,$3.09,14.71
2020-03-31,43.06,$1.49,28.9
2019-12-31,55.03,$3.53,15.59
2019-09-30,59.9,$3.00,19.97
2019-06-30,55.63,$3.22,17.28
2019-03-31,51.57,$3.82,13.5
2018-12-31,48.86,$5.57,8.77
2018-09-30,53.37,$6.21,8.59
2018-06-30,54.37,$6.27,8.67
2018-03-31,48.66,$5.74,8.48
2017-12-31,50.71,$4.14,12.25
2017-09-30,46.61,$5.29,8.81
2017-06-30,43.26,$6.16,7.02
2017-03-31,40.22,$6.09,6.6
2016-12-31,46.41,$6.02,7.71
2016-09-30,36.82,$5.56,6.62
2016-06-30,31.59,$4.67,6.76
2016-03-31,35.67,$5.60,6.37
2015-12-31,30.31,$5.89,5.15
2015-09-30,31.14,$5.62,5.54
2015-06-30,38.86,$6.37,6.1
2015-03-31,42.36,$6.44,6.58
2014-12-31,41.38,$6.63,6.24
2014-09-30,38.41,$6.56,5.85
2014-06-30,36.84,$6.07,6.07
2014-03-31,36.28,$6.63,5.47
2013-12-31,37.28,$6.50,5.74
2013-09-30,33.94,$6.17,5.5
2013-06-30,31.77,$5.59,5.68
2013-03-31,29.68,$4.29,6.92
2012-12-31,26.08,$3.74,6.97
2012-09-30,19.93,$3.92,5.08
2012-06-30,19.23,$4.13,4.66
2012-03-31,21.57,$4.02,5.36
2011-12-31,20.29,$4.24,4.78
2011-09-30,15.5,$4.62,3.35
2011-06-30,18.11,$3.63,4.99
2011-03-31,17.84,$3.86,4.62
2010-12-31,19.3,$3.81,5.06
2010-09-30,18.23,$3.24,5.63
2010-06-30,15.31,$4.18,3.66
2010-03-31,14.69,$3.36,4.37
2009-12-31,13.57,$2.80,4.85
