Yalla Group PE Ratio Historical Data,Yalla Group PE Ratio Historical Data,Yalla Group PE Ratio Historical Data,Yalla Group PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.07,,6.95
2024-09-30,4.54,$0.73,6.22
2024-06-30,4.55,$0.71,6.41
2024-03-31,4.81,$0.70,6.87
2023-12-31,6.13,$0.64,9.58
2023-09-30,5.24,$0.56,9.36
2023-06-30,4.36,$0.50,8.72
2023-03-31,3.94,$0.46,8.57
2022-12-31,3.5,$0.45,7.78
2022-09-30,3.24,$0.47,6.89
2022-06-30,3.9,$0.47,8.3
2022-03-31,4.48,$0.45,9.96
2021-12-31,6.71,$0.46,14.59
2021-09-30,7.59,$0.41,18.51
2021-06-30,19.99,$-0.16,0.0
