American Well PE Ratio Historical Data,American Well PE Ratio Historical Data,American Well PE Ratio Historical Data,American Well PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.8,,0.0
2024-12-31,7.25,$-14.00,0.0
2024-09-30,9.48,$-14.63,0.0
2024-06-30,0.32,$-21.36,0.0
2024-03-31,0.81,$-24.60,0.0
2023-12-31,1.49,$-48.00,0.0
2023-09-30,1.17,$-49.00,0.0
2023-06-30,2.1,$-44.40,0.0
2023-03-31,2.36,$-42.80,0.0
2022-12-31,2.83,$-19.60,0.0
2022-09-30,3.59,$-18.80,0.0
2022-06-30,4.32,$-17.80,0.0
2022-03-31,4.21,$-15.80,0.0
2021-12-31,6.04,$-13.80,0.0
2021-09-30,9.11,$-10.20,0.0
2021-06-30,12.58,$-24.60,0.0
