Owens Corning Inc PE Ratio Historical Data,Owens Corning Inc PE Ratio Historical Data,Owens Corning Inc PE Ratio Historical Data,Owens Corning Inc PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,147.07,,20.09
2024-12-31,170.32,$7.32,23.27
2024-09-30,175.96,$11.75,14.98
2024-06-30,172.58,$11.81,14.61
2024-03-31,165.7,$12.35,13.42
2023-12-31,146.08,$13.12,11.13
2023-09-30,133.89,$12.98,10.31
2023-06-30,127.58,$14.11,9.04
2023-03-31,93.66,$13.82,6.78
2022-12-31,82.46,$12.68,6.5
2022-09-30,75.67,$13.59,5.57
2022-06-30,71.22,$11.25,6.33
2022-03-31,87.69,$10.58,8.29
2021-12-31,86.08,$9.53,9.03
2021-09-30,81.09,$9.43,8.6
2021-06-30,92.59,$8.81,10.51
2021-03-31,87.1,$6.87,12.68
2020-12-31,71.18,$-3.54,0.0
2020-09-30,64.44,$-5.01,0.0
2020-06-30,52.01,$-5.53,0.0
2020-03-31,36.2,$-5.15,0.0
2019-12-31,60.24,$3.68,16.37
2019-09-30,58.26,$4.57,12.75
2019-06-30,53.44,$4.66,11.47
2019-03-31,43.27,$4.48,9.66
2018-12-31,39.99,$4.90,8.16
2018-09-30,49.15,$3.31,14.85
2018-06-30,57.2,$2.71,21.11
2018-03-31,72.57,$2.48,29.26
2017-12-31,82.78,$2.55,32.46
2017-09-30,69.31,$3.35,20.69
2017-06-30,59.78,$3.47,17.23
2017-03-31,54.82,$3.81,14.39
2016-12-31,45.91,$3.41,13.46
2016-09-30,47.19,$3.57,13.22
2016-06-30,45.39,$3.55,12.78
2016-03-31,41.65,$3.13,13.31
2015-12-31,41.27,$2.79,14.79
2015-09-30,36.5,$2.15,16.98
2015-06-30,35.78,$1.64,21.82
2015-03-31,37.65,$1.05,35.85
2014-12-31,30.93,$1.91,16.19
2014-09-30,27.16,$2.32,11.71
2014-06-30,32.94,$2.31,14.26
2014-03-31,36.77,$2.54,14.48
2013-12-31,34.55,$1.71,20.21
2013-09-30,32.23,$0.55,58.6
2013-06-30,33.16,$0.49,67.68
2013-03-31,33.46,$0.40,83.65
2012-12-31,31.39,$-0.16,0.0
2012-09-30,28.39,$0.72,39.43
2012-06-30,24.22,$1.36,17.81
2012-03-31,30.57,$1.66,18.42
2011-12-31,24.37,$2.23,10.93
2011-09-30,18.4,$0.93,19.78
2011-06-30,31.69,$0.38,83.4
2011-03-31,30.54,$7.09,4.31
2010-12-31,26.43,$7.28,3.63
2010-09-30,21.75,$8.00,2.72
2010-06-30,25.38,$8.17,3.11
2010-03-31,21.59,$1.10,19.62
2009-12-31,21.76,$0.49,44.4
