Editas Medicine PE Ratio Historical Data,Editas Medicine PE Ratio Historical Data,Editas Medicine PE Ratio Historical Data,Editas Medicine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.37,,0.0
2024-12-31,1.27,$-2.88,0.0
2024-09-30,3.41,$-2.56,0.0
2024-06-30,4.67,$-2.36,0.0
2024-03-31,7.42,$-2.10,0.0
2023-12-31,10.13,$-2.05,0.0
2023-09-30,7.8,$-2.70,0.0
2023-06-30,8.23,$-2.96,0.0
2023-03-31,7.25,$-3.18,0.0
2022-12-31,8.87,$-3.21,0.0
2022-09-30,12.24,$-2.94,0.0
2022-06-30,11.83,$-2.70,0.0
2022-03-31,19.02,$-2.73,0.0
2021-12-31,26.55,$-2.85,0.0
2021-09-30,41.08,$-3.24,0.0
2021-06-30,56.64,$-2.55,0.0
2021-03-31,42.0,$-2.17,0.0
2020-12-31,70.11,$-2.00,0.0
2020-09-30,28.06,$-1.74,0.0
2020-06-30,29.58,$-2.52,0.0
2020-03-31,19.83,$-2.78,0.0
2019-12-31,29.61,$-2.69,0.0
2019-09-30,22.74,$-2.47,0.0
2019-06-30,24.74,$-2.13,0.0
2019-03-31,24.45,$-2.26,0.0
2018-12-31,22.75,$-2.33,0.0
2018-09-30,31.82,$-2.65,0.0
2018-06-30,35.83,$-2.97,0.0
2018-03-31,33.15,$-2.80,0.0
2017-12-31,30.73,$-2.98,0.0
2017-09-30,24.01,$-3.24,0.0
2017-06-30,16.78,$-3.19,0.0
2017-03-31,22.32,$-3.08,0.0
2016-12-31,16.23,$-3.03,0.0
