Stewart Information Services PE Ratio Historical Data,Stewart Information Services PE Ratio Historical Data,Stewart Information Services PE Ratio Historical Data,Stewart Information Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.92,,27.28
2024-12-31,67.49,$2.60,25.96
2024-09-30,74.24,$2.12,35.02
2024-06-30,61.26,$1.56,39.27
2024-03-31,63.71,$1.52,41.91
2023-12-31,57.08,$1.11,51.42
2023-09-30,42.2,$1.28,32.97
2023-06-30,39.23,$1.85,21.21
2023-03-31,38.07,$3.53,10.78
2022-12-31,39.85,$5.94,6.71
2022-09-30,40.29,$8.57,4.7
2022-06-30,45.5,$10.75,4.23
2022-03-31,55.02,$11.99,4.59
2021-12-31,71.96,$11.89,6.05
2021-09-30,56.81,$10.99,5.17
2021-06-30,50.63,$9.94,5.09
2021-03-31,46.21,$7.88,5.86
2020-12-31,42.69,$6.09,7.01
2020-09-30,38.36,$3.87,9.91
2020-06-30,28.33,$4.44,6.38
2020-03-31,23.02,$3.81,6.04
2019-12-31,34.89,$3.30,10.57
2019-09-30,32.95,$3.78,8.72
2019-06-30,34.1,$1.74,19.6
2019-03-31,35.69,$1.88,18.98
2018-12-31,34.37,$2.01,17.1
2018-09-30,37.1,$2.17,17.1
2018-06-30,35.26,$1.89,18.66
2018-03-31,35.73,$1.73,20.65
2017-12-31,34.15,$2.06,16.58
2017-09-30,30.26,$2.13,14.21
2017-06-30,36.07,$2.79,12.93
2017-03-31,34.88,$2.49,14.01
2016-12-31,36.13,$1.84,19.64
2016-09-30,34.6,$1.24,27.91
2016-06-30,32.02,$-0.46,0.0
2016-03-31,27.84,$-0.23,0.0
2015-12-31,28.38,$-0.27,0.0
2015-09-30,30.88,$0.11,280.69
2015-06-30,29.84,$1.66,17.98
2015-03-31,30.28,$1.21,25.02
2014-12-31,27.59,$1.19,23.19
2014-09-30,21.8,$1.42,15.35
2014-06-30,23.04,$1.08,21.33
2014-03-31,26.1,$1.90,13.74
2013-12-31,23.97,$2.59,9.26
2013-09-30,23.69,$4.43,5.35
2013-06-30,19.39,$5.22,3.72
2013-03-31,18.86,$5.18,3.64
2012-12-31,19.25,$4.40,4.38
2012-09-30,14.86,$1.95,7.62
2012-06-30,11.32,$0.75,15.1
2012-03-31,10.48,$-0.02,0.0
2011-12-31,8.52,$0.06,142.01
2011-09-30,6.49,$0.41,15.83
2011-06-30,7.37,$0.02,368.28
2011-03-31,7.7,$0.19,40.51
2010-12-31,8.47,$-0.85,0.0
2010-09-30,8.28,$0.18,45.98
2010-06-30,6.59,$-0.95,0.0
2010-03-31,10.09,$-2.54,0.0
2009-12-31,8.25,$-3.26,0.0
