ZW Data Action Technologies PE Ratio Historical Data,ZW Data Action Technologies PE Ratio Historical Data,ZW Data Action Technologies PE Ratio Historical Data,ZW Data Action Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.49,,0.0
2024-09-30,4.4,$-2.70,0.0
2024-06-30,3.04,$-2.48,0.0
2024-03-31,4.08,$-3.12,0.0
2023-12-31,3.32,$-3.28,0.0
2023-09-30,3.64,$-2.24,0.0
2023-06-30,5.08,$-3.00,0.0
2023-03-31,6.8,$-3.24,0.0
2022-12-31,9.2,$-3.00,0.0
2022-09-30,18.44,$-3.60,0.0
2022-06-30,6.79,$-1.20,0.0
2022-03-31,14.6,$-2.40,0.0
2021-12-31,20.0,$-1.60,0.0
2021-09-30,25.2,$-1.40,0.0
2021-06-30,40.0,$-3.40,0.0
2021-03-31,52.8,$-2.00,0.0
2020-12-31,27.0,$-4.60,0.0
2020-09-30,40.4,$-3.40,0.0
2020-06-30,20.0,$-2.60,0.0
2020-03-31,19.0,$-2.20,0.0
2019-12-31,23.3,$-1.40,0.0
2019-09-30,26.0,$-3.60,0.0
2019-06-30,26.99,$-7.00,0.0
2019-03-31,39.0,$-18.60,0.0
2018-12-31,26.8,$-18.00,0.0
2018-09-30,34.6,$-26.60,0.0
2018-06-30,50.4,$-26.20,0.0
2018-03-31,33.38,$-15.60,0.0
2017-12-31,21.8,$-16.60,0.0
2017-09-30,20.0,$-6.60,0.0
2017-06-30,24.8,$-5.80,0.0
2017-03-31,22.6,$-6.40,0.0
2016-12-31,20.0,$-7.10,0.0
2016-09-30,36.0,$-7.10,0.0
2016-06-30,27.5,$-8.50,0.0
2016-03-31,35.0,$-9.00,0.0
2015-12-31,41.5,$-10.00,0.0
2015-09-30,41.56,$-34.00,0.0
2015-06-30,64.5,$-32.00,0.0
2015-03-31,80.5,$-32.50,0.0
2014-12-31,57.5,$-30.50,0.0
2014-09-30,167.5,$-10.50,0.0
2014-06-30,41.0,$-6.00,0.0
2014-03-31,87.0,$-2.00,0.0
2013-12-31,42.0,$-0.50,0.0
2013-09-30,29.52,$6.50,4.54
2013-06-30,29.5,$6.50,4.54
2013-03-31,42.5,$7.50,5.67
2012-12-31,41.5,$6.50,6.38
2012-09-30,20.01,$-6.00,0.0
2012-06-30,34.98,$-5.50,0.0
2012-03-31,49.5,0,0.0
2011-12-31,55.0,$8.00,6.88
2011-09-30,55.5,$21.00,2.64
2011-06-30,73.0,$27.50,2.65
2011-03-31,182.0,$30.00,6.07
2010-12-31,226.5,$32.00,7.08
2010-09-30,207.0,$29.50,7.02
2010-06-30,178.5,$3.50,51.0
