Digital Brands PE Ratio Historical Data,Digital Brands PE Ratio Historical Data,Digital Brands PE Ratio Historical Data,Digital Brands PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-27,1.3,,0.0
2024-09-30,0.34,$-646.50,0.0
2024-06-30,1.47,"$-1,292.50",0.0
2024-03-31,4.16,$-888.50,0.0
2023-12-31,3.27,"$-2,215.50",0.0
2023-09-30,8.43,"$-27,352.50",0.0
2023-06-30,0.66,"$-38,200.00",0.0
2023-03-31,1.32,"$-72,250.00",0.0
2022-12-31,4.22,"$-144,650.00",0.0
2022-09-30,9.4,"$-214,075.00",0.0
2022-06-30,19.49,"$-297,500.00",0.0
2022-03-31,190.0,"$-510,000.00",0.0
