BTC Digital PE Ratio Historical Data,BTC Digital PE Ratio Historical Data,BTC Digital PE Ratio Historical Data,BTC Digital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.61,,0.0
2024-09-30,1.61,$-1.20,0.0
2024-06-30,2.14,$-0.57,0.0
2024-03-31,3.5,$-0.30,0.0
2023-12-31,4.82,0,0.0
2023-09-30,3.58,0,0.0
2023-06-30,0.18,0,0.0
2023-03-31,0.22,0,0.0
2021-06-30,29.11,$-288.29,0.0
2021-03-31,72.3,$-324.32,0.0
2020-09-30,173.7,$-366.37,0.0
2019-12-31,308.1,$-366.37,0.0
2019-09-30,304.5,$-78.08,0.0
