Plains All American Pipeline PE Ratio Historical Data,Plains All American Pipeline PE Ratio Historical Data,Plains All American Pipeline PE Ratio Historical Data,Plains All American Pipeline PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,20.24,,27.73
2024-12-31,17.08,$0.73,23.4
2024-09-30,17.04,$1.12,15.21
2024-06-30,17.22,$1.10,15.65
2024-03-31,16.62,$1.16,14.33
2023-12-31,14.06,$1.39,10.11
2023-09-30,13.97,$1.34,10.42
2023-06-30,12.62,$1.62,7.79
2023-03-31,10.94,$1.52,7.2
2022-12-31,10.1,$1.19,8.49
2022-09-30,8.87,$1.45,6.12
2022-06-30,8.12,$0.82,9.9
2022-03-31,8.72,$0.23,37.91
2021-12-31,7.44,$0.55,13.53
2021-09-30,7.97,$-0.12,0.0
2021-06-30,8.74,$0.16,54.63
2021-03-31,6.87,$0.66,10.41
2020-12-31,6.09,$-3.83,0.0
2020-09-30,4.3,$-3.37,0.0
2020-06-30,6.21,$-2.95,0.0
2020-03-31,3.63,$-2.54,0.0
2019-12-31,12.39,$2.64,4.69
2019-09-30,13.71,$3.67,3.74
2019-06-30,15.85,$3.99,3.97
2019-03-31,15.71,$3.52,4.46
2018-12-31,12.68,$2.65,4.78
2018-09-30,15.6,$1.46,10.69
2018-06-30,14.57,$0.58,25.12
2018-03-31,13.41,$0.72,18.62
2017-12-31,12.39,$0.97,12.77
2017-09-30,12.53,$0.92,13.62
2017-06-30,15.21,$1.33,11.44
2017-03-31,17.97,$0.92,19.53
2016-12-31,18.04,$0.41,44.0
2016-09-30,17.25,$0.51,33.82
2016-06-30,14.71,$0.35,42.04
2016-03-31,10.9,$0.49,22.24
2015-12-31,11.58,$0.77,15.04
2015-09-30,14.89,$1.20,12.4
2015-06-30,21.0,$1.48,14.19
2015-03-31,23.19,$1.99,11.65
2014-12-31,24.08,$2.38,10.12
2014-09-30,27.29,$2.30,11.87
2014-06-30,27.54,$2.16,12.75
2014-03-31,25.0,$2.28,10.96
2013-12-31,23.19,$2.81,8.25
2013-09-30,23.32,$2.91,8.01
2013-06-30,24.44,$2.80,8.73
2013-03-31,24.49,$3.16,7.75
2012-12-31,19.4,$2.40,8.08
2012-09-30,18.69,$2.40,7.8
2012-06-30,16.92,$2.86,5.91
2012-03-31,16.21,$2.50,6.5
2011-12-31,14.98,$2.44,6.15
2011-09-30,11.83,$2.09,5.68
2011-06-30,12.65,$1.49,8.49
2011-03-31,12.41,$1.25,9.93
2010-12-31,12.05,$1.20,10.04
2010-09-30,11.89,$1.13,10.57
2010-06-30,10.93,$1.31,8.34
2010-03-31,10.43,$1.38,7.58
2009-12-31,9.52,$1.69,5.65
