Kyndryl Holdings PE Ratio Historical Data,Kyndryl Holdings PE Ratio Historical Data,Kyndryl Holdings PE Ratio Historical Data,Kyndryl Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,34.22,,62.22
2024-12-31,34.6,$0.55,62.91
2024-09-30,22.98,$-0.39,0.0
2024-06-30,26.31,$-0.82,0.0
2024-03-31,21.76,$-1.49,0.0
2023-12-31,20.78,$-4.53,0.0
2023-09-30,15.1,$-4.95,0.0
2023-06-30,13.28,$-5.57,0.0
2023-03-31,14.76,$-6.06,0.0
2022-12-31,11.12,$-3.84,0.0
2022-09-30,8.27,$-6.67,0.0
