Hyster-Yale PE Ratio Historical Data,Hyster-Yale PE Ratio Historical Data,Hyster-Yale PE Ratio Historical Data,Hyster-Yale PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,46.29,,5.74
2024-12-31,50.93,$8.06,6.32
2024-09-30,63.38,$8.91,7.11
2024-06-30,68.92,$10.00,6.89
2024-03-31,63.42,$8.63,7.35
2023-12-31,61.13,$7.25,8.43
2023-09-30,43.52,$6.26,6.95
2023-06-30,54.13,$2.00,27.06
2023-03-31,48.03,$-1.36,0.0
2022-12-31,24.16,$-4.39,0.0
2022-09-30,20.31,$-10.97,0.0
2022-06-30,30.09,$-13.36,0.0
2022-03-31,30.75,$-12.10,0.0
2021-12-31,37.71,$-10.29,0.0
2021-09-30,45.74,$-3.37,0.0
2021-06-30,66.05,$1.52,43.45
2021-03-31,78.51,$1.62,48.46
2020-12-31,53.47,$2.20,24.3
2020-09-30,33.16,$1.62,20.47
2020-06-30,34.24,$2.08,16.46
2020-03-31,35.2,$2.84,12.4
2019-12-31,51.43,$2.13,24.15
2019-09-30,47.49,$1.86,25.53
2019-06-30,47.67,$2.03,23.48
2019-03-31,53.42,$1.40,38.16
2018-12-31,52.83,$2.10,25.16
2018-09-30,52.47,$2.02,25.97
2018-06-30,54.51,$2.09,26.08
2018-03-31,59.06,$2.74,21.55
2017-12-31,71.62,$2.94,24.36
2017-09-30,64.05,$3.83,16.72
2017-06-30,58.61,$3.58,16.37
2017-03-31,46.85,$3.10,15.11
2016-12-31,52.73,$2.61,20.2
2016-09-30,49.5,$2.92,16.95
2016-06-30,48.7,$3.45,14.11
2016-03-31,54.25,$4.33,12.53
2015-12-31,42.52,$4.57,9.3
2015-09-30,46.65,$5.13,9.09
2015-06-30,55.63,$5.55,10.02
2015-03-31,58.62,$6.11,9.59
2014-12-31,58.32,$6.57,8.88
2014-09-30,56.85,$6.49,8.76
2014-06-30,70.03,$6.19,11.31
2014-03-31,76.87,$6.40,12.01
2013-12-31,73.27,$6.56,11.17
2013-09-30,70.31,$6.96,10.1
