Taitron Components PE Ratio Historical Data,Taitron Components PE Ratio Historical Data,Taitron Components PE Ratio Historical Data,Taitron Components PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.55,,11.09
2024-09-30,2.86,$0.23,12.43
2024-06-30,2.56,$0.26,9.84
2024-03-31,3.09,$0.28,11.05
2023-12-31,3.3,$0.32,10.31
2023-09-30,3.25,$0.29,11.22
2023-06-30,3.76,$0.30,12.53
2023-03-31,3.23,$0.31,10.42
2022-12-31,3.08,$0.52,5.93
2022-09-30,3.38,$0.52,6.5
2022-06-30,3.16,$0.55,5.74
2022-03-31,3.26,$0.55,5.94
2021-12-31,3.32,$0.27,12.31
2021-09-30,3.12,$0.39,8.0
2021-06-30,4.08,$0.36,11.34
2021-03-31,3.27,$0.28,11.67
2020-12-31,2.59,$0.24,10.77
2020-09-30,1.88,$0.09,20.9
2020-06-30,2.03,$0.09,22.61
2020-03-31,1.7,$0.11,15.46
2019-12-31,2.14,$0.12,17.83
2019-09-30,2.1,$0.26,8.09
2019-06-30,2.36,$0.23,10.25
2019-03-31,1.93,$0.26,7.41
2018-12-31,1.25,$0.24,5.2
2018-09-30,1.41,$0.14,10.09
2018-06-30,1.19,$0.13,9.12
2018-03-31,1.05,$0.10,10.47
2017-12-31,1.14,$0.14,8.16
2017-09-30,1.05,$-0.44,0.0
2017-06-30,1.07,$-0.47,0.0
2017-03-31,0.77,$-0.50,0.0
2016-12-31,0.76,$-0.56,0.0
2016-09-30,0.71,$-0.02,0.0
2016-06-30,0.63,$-0.04,0.0
2016-03-31,0.54,$-0.06,0.0
2015-12-31,0.58,$-0.11,0.0
2015-09-30,0.59,$-0.08,0.0
2015-06-30,0.58,$-0.10,0.0
2015-03-31,0.59,$-0.12,0.0
2014-12-31,0.59,$-0.11,0.0
2014-09-30,0.62,$-0.17,0.0
2014-06-30,0.6,$-0.17,0.0
2014-03-31,0.62,$-0.18,0.0
2013-12-31,0.62,$-0.17,0.0
2013-09-30,0.6,$-0.11,0.0
2013-06-30,0.55,$-0.11,0.0
2013-03-31,0.59,$-0.13,0.0
2012-12-31,0.6,$-0.14,0.0
2012-09-30,0.59,$-0.17,0.0
2012-06-30,0.57,$-0.17,0.0
2012-03-31,0.6,$-0.11,0.0
2011-12-31,0.67,$-0.12,0.0
2011-09-30,0.54,$-0.12,0.0
2011-06-30,0.73,$-0.10,0.0
2011-03-31,0.92,$-0.11,0.0
2010-12-31,0.93,$-0.07,0.0
2010-09-30,0.62,$-0.07,0.0
2010-06-30,0.7,$-0.09,0.0
2010-03-31,0.89,$-0.13,0.0
2009-12-31,0.85,$-0.17,0.0
