Brasilagro Cia Brasileira De Propriedades Agricolas PE Ratio Historical Data,Brasilagro Cia Brasileira De Propriedades Agricolas PE Ratio Historical Data,Brasilagro Cia Brasileira De Propriedades Agricolas PE Ratio Historical Data,Brasilagro Cia Brasileira De Propriedades Agricolas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.84,,27.43
2024-12-31,3.61,$0.14,25.79
2024-09-30,4.4,$0.65,6.78
2024-03-31,4.67,$0.47,9.93
2023-09-30,4.72,$0.53,8.9
2023-06-30,4.3,$0.55,7.82
2023-03-31,4.0,$0.13,30.73
2022-12-31,4.73,$0.29,16.3
2022-09-30,4.2,$0.81,5.18
2022-06-30,3.55,$0.93,3.82
2022-03-31,4.78,$1.11,4.3
2021-12-31,3.82,$1.23,3.11
2021-09-30,3.61,$0.64,5.64
2021-06-30,3.93,$0.67,5.86
2021-03-31,2.66,$0.55,4.84
2020-12-31,3.24,$0.35,9.25
2020-09-30,2.51,$0.51,4.91
2020-06-30,2.32,$0.46,5.04
2020-03-31,1.94,$0.51,3.8
2019-12-31,2.99,$0.46,6.5
2019-09-30,2.44,$0.37,6.6
2019-06-30,2.47,$0.80,3.09
2019-03-31,2.27,$0.74,3.07
2018-12-31,2.39,$1.01,2.36
2018-09-30,1.87,$1.07,1.75
2018-06-30,1.95,$0.57,3.42
2018-03-31,2.14,$0.46,4.64
2017-12-31,1.97,$0.20,9.85
2017-09-30,2.3,$0.13,17.67
2017-06-30,2.08,$0.02,104.08
2017-03-31,2.06,$0.02,102.97
2016-12-31,1.79,$-0.05,0.0
