Itau Unibanco Holding S.A PE Ratio Historical Data,Itau Unibanco Holding S.A PE Ratio Historical Data,Itau Unibanco Holding S.A PE Ratio Historical Data,Itau Unibanco Holding S.A PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.66,,7.26
2024-09-30,6.58,$0.78,8.43
2024-06-30,5.73,$0.76,7.53
2024-03-31,6.74,$0.74,9.1
2023-12-31,6.49,$0.68,9.55
2023-09-30,4.97,$0.63,7.88
2023-06-30,5.39,$0.62,8.7
2023-03-31,4.4,$0.59,7.46
2022-12-31,4.2,$0.58,7.24
2022-09-30,4.51,$0.56,8.05
2022-06-30,3.68,$0.52,7.08
2022-03-31,4.9,$0.53,9.24
2021-12-31,3.21,$0.51,6.29
2021-09-30,3.67,$0.56,6.55
2021-06-30,4.16,$0.53,7.85
2021-03-31,3.41,$0.44,7.76
2020-12-31,4.15,$0.41,10.11
2020-09-30,2.7,$0.46,5.87
2020-06-30,3.17,$0.50,6.34
2020-03-31,3.03,$0.60,5.05
2019-12-31,5.97,$0.70,8.52
2019-09-30,5.47,$0.48,11.4
2019-06-30,5.97,$0.51,11.71
2019-03-31,5.58,$0.51,11.01
2018-12-31,5.51,$0.53,10.45
2018-09-30,4.41,$0.70,6.29
2018-06-30,4.08,$0.73,5.57
2018-03-31,6.13,$0.77,7.93
2017-12-31,4.89,$0.77,6.38
2017-09-30,5.13,$0.77,6.69
2017-06-30,4.09,$0.75,5.48
2017-03-31,4.46,$0.72,6.24
2016-12-31,3.73,$0.67,5.53
2016-09-30,3.55,$0.65,5.44
2016-06-30,3.02,$0.74,4.09
2016-03-31,2.75,$0.76,3.63
2015-12-31,2.02,$0.79,2.55
2015-09-30,2.04,$0.88,2.32
2015-06-30,3.03,$0.86,3.54
2015-03-31,3.05,$0.87,3.51
2014-12-31,3.5,$0.89,3.94
2014-09-30,3.73,$0.85,4.4
2014-06-30,3.82,$0.80,4.8
2014-03-31,3.58,$0.73,4.9
2013-12-31,3.21,$0.72,4.45
2013-09-30,3.32,$0.70,4.74
2013-06-30,3.0,$0.68,4.43
2013-03-31,3.75,$0.70,5.35
2012-12-31,3.43,$0.66,5.17
2012-09-30,3.15,$0.71,4.44
2012-06-30,2.84,$0.75,3.77
2012-03-31,3.91,$0.80,4.92
2011-12-31,3.74,$0.85,4.41
2011-09-30,3.09,$0.86,3.59
2011-06-30,4.64,$0.83,5.6
2011-03-31,4.74,$0.81,5.87
2010-12-31,4.65,$0.78,5.94
2010-09-30,4.68,$0.72,6.46
2010-06-30,3.46,$0.67,5.13
2010-03-31,4.22,$0.63,6.72
2009-12-31,4.32,$0.53,8.17
