Zai Lab PE Ratio Historical Data,Zai Lab PE Ratio Historical Data,Zai Lab PE Ratio Historical Data,Zai Lab PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.33,,0.0
2024-12-31,26.19,$-2.59,0.0
2024-09-30,24.14,$-2.77,0.0
2024-06-30,17.33,$-3.06,0.0
2024-03-31,16.02,$-3.49,0.0
2023-12-31,27.33,$-3.45,0.0
2023-09-30,24.31,$-3.12,0.0
2023-06-30,27.73,$-4.09,0.0
2023-03-31,33.26,$-4.28,0.0
2022-12-31,30.7,$-4.63,0.0
2022-09-30,34.2,$-6.22,0.0
2022-06-30,34.68,$-5.55,0.0
2022-03-31,43.98,$-5.87,0.0
2021-12-31,62.85,$-7.65,0.0
2021-09-30,105.39,$-5.41,0.0
2021-06-30,176.99,$-4.40,0.0
2021-03-31,133.43,$-2.64,0.0
2020-12-31,135.34,0,0.0
2020-09-30,83.17,0,0.0
2020-06-30,82.13,0,0.0
2020-03-31,51.48,0,0.0
2019-12-31,41.59,0,0.0
2019-09-30,32.35,0,0.0
