Protalix BioTherapeutics PE Ratio Historical Data,Protalix BioTherapeutics PE Ratio Historical Data,Protalix BioTherapeutics PE Ratio Historical Data,Protalix BioTherapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.36,,0.0
2024-12-31,1.88,$-0.06,0.0
2024-09-30,1.02,$-0.13,0.0
2024-06-30,1.17,$-0.20,0.0
2024-03-31,1.26,$0.04,31.5
2023-12-31,1.78,$0.05,35.6
2023-09-30,1.66,$0.05,33.2
2023-06-30,2.0,$0.02,100.0
2023-03-31,2.1,$-0.30,0.0
2022-12-31,1.37,$-0.30,0.0
2022-09-30,1.04,$-0.37,0.0
2022-06-30,1.09,$-0.39,0.0
2022-03-31,1.06,$-0.53,0.0
2021-12-31,0.83,$-0.62,0.0
2021-09-30,1.33,$-0.45,0.0
2021-06-30,1.91,$-0.50,0.0
2021-03-31,4.46,$-0.38,0.0
2020-12-31,3.63,$-0.14,0.0
2020-09-30,3.87,$-0.17,0.0
2020-06-30,3.79,$-0.23,0.0
2020-03-31,2.35,$-0.60,0.0
2019-12-31,3.28,$-1.20,0.0
2019-09-30,2.05,$-0.50,0.0
2019-06-30,4.69,$-1.30,0.0
2019-03-31,4.4,$-1.60,0.0
2018-12-31,3.11,$-1.70,0.0
2018-09-30,7.27,$-3.40,0.0
2018-06-30,4.3,$-3.30,0.0
2018-03-31,5.4,$-3.10,0.0
2017-12-31,6.61,$-7.30,0.0
2017-09-30,5.8,$-6.30,0.0
2017-06-30,8.38,$-6.10,0.0
2017-03-31,13.6,$-6.60,0.0
2016-12-31,4.45,$-2.70,0.0
2016-09-30,5.7,$-2.70,0.0
2016-06-30,6.4,$-2.40,0.0
2016-03-31,8.41,$-1.80,0.0
2015-12-31,10.2,$-1.50,0.0
2015-09-30,11.8,$-2.40,0.0
2015-06-30,19.5,$-2.90,0.0
2015-03-31,17.8,$-3.10,0.0
2014-12-31,18.4,$-3.30,0.0
2014-09-30,24.2,$-3.60,0.0
2014-06-30,36.5,$-3.30,0.0
2014-03-31,45.8,$-3.30,0.0
2013-12-31,38.9,$-3.00,0.0
2013-09-30,45.3,$-2.90,0.0
2013-06-30,49.1,$-2.90,0.0
2013-03-31,54.9,$-1.20,0.0
2012-12-31,51.9,$-1.40,0.0
2012-09-30,51.8,$-1.30,0.0
2012-06-30,57.3,$-1.70,0.0
2012-03-31,63.7,$-4.30,0.0
2011-12-31,49.3,$-4.20,0.0
2011-09-30,46.0,$-4.30,0.0
2011-06-30,62.6,$-3.60,0.0
2011-03-31,60.8,$-3.20,0.0
2010-12-31,99.8,$-3.60,0.0
2010-09-30,86.9,$-4.40,0.0
2010-06-30,61.1,$-4.90,0.0
2010-03-31,65.6,$-4.40,0.0
2009-12-31,66.2,$-4.10,0.0
