CNB Financial PE Ratio Historical Data,CNB Financial PE Ratio Historical Data,CNB Financial PE Ratio Historical Data,CNB Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.62,,9.5
2024-12-31,24.86,$2.38,10.45
2024-09-30,23.91,$2.34,10.22
2024-06-30,20.13,$2.33,8.64
2024-03-31,19.93,$2.38,8.37
2023-12-31,21.89,$2.56,8.55
2023-09-30,17.4,$2.64,6.59
2023-06-30,16.8,$2.94,5.71
2023-03-31,18.08,$3.18,5.69
2022-12-31,22.24,$3.29,6.76
2022-09-30,21.88,$3.39,6.46
2022-06-30,22.31,$3.31,6.74
2022-03-31,24.11,$3.22,7.49
2021-12-31,24.11,$3.16,7.63
2021-09-30,22.0,$2.76,7.97
2021-06-30,20.48,$2.41,8.5
2021-03-31,21.94,$2.19,10.02
2020-12-31,18.84,$1.98,9.52
2020-09-30,13.05,$2.27,5.75
2020-06-30,15.56,$2.48,6.28
2020-03-31,16.23,$2.58,6.29
2019-12-31,27.91,$2.63,10.61
2019-09-30,24.38,$2.53,9.64
2019-06-30,23.84,$2.45,9.73
2019-03-31,21.19,$2.36,8.98
2018-12-31,19.13,$2.20,8.69
2018-09-30,24.05,$1.84,13.07
2018-06-30,24.92,$1.71,14.57
2018-03-31,23.98,$1.60,14.99
2017-12-31,21.5,$1.57,13.7
2017-09-30,22.26,$1.69,13.17
2017-06-30,19.4,$1.66,11.69
2017-03-31,19.18,$1.50,12.79
2016-12-31,21.33,$1.42,15.02
2016-09-30,16.76,$1.45,11.56
2016-06-30,13.99,$1.39,10.06
2016-03-31,13.69,$1.50,9.13
2015-12-31,13.91,$1.54,9.03
2015-09-30,13.89,$1.63,8.52
2015-06-30,13.93,$1.64,8.5
2015-03-31,12.76,$1.64,7.78
2014-12-31,13.74,$1.61,8.53
2014-09-30,11.56,$1.47,7.86
2014-06-30,12.25,$1.46,8.39
2014-03-31,12.76,$1.31,9.74
2013-12-31,13.59,$1.29,10.53
2013-09-30,12.09,$1.27,9.52
2013-06-30,11.9,$1.26,9.44
2013-03-31,11.86,$1.37,8.66
2012-12-31,11.28,$1.38,8.17
2012-09-30,11.94,$1.38,8.65
2012-06-30,11.01,$1.34,8.22
2012-03-31,11.16,$1.31,8.52
2011-12-31,10.42,$1.23,8.48
2011-09-30,8.37,$1.15,7.28
2011-06-30,8.96,$1.07,8.38
2011-03-31,9.25,$1.09,8.49
2010-12-31,9.33,$1.07,8.72
2010-09-30,8.57,$1.02,8.4
2010-06-30,6.75,$1.03,6.56
2010-03-31,9.39,$0.98,9.58
2009-12-31,9.63,$0.99,9.73
