Corning PE Ratio Historical Data,Corning PE Ratio Historical Data,Corning PE Ratio Historical Data,Corning PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,48.67,,83.91
2024-12-31,47.52,$0.58,81.93
2024-09-30,44.88,$0.17,264.0
2024-06-30,38.36,$0.50,76.72
2024-03-31,32.54,$0.71,45.84
2023-12-31,29.81,$0.67,44.49
2023-09-30,29.53,$0.68,43.43
2023-06-30,33.68,$0.73,46.13
2023-03-31,33.61,$1.06,31.7
2022-12-31,30.18,$1.54,19.6
2022-09-30,27.2,$2.14,12.71
2022-06-30,29.3,$2.33,12.58
2022-03-31,34.07,$1.25,27.25
2021-12-31,34.14,$1.24,27.53
2021-09-30,33.25,$0.96,34.63
2021-06-30,37.04,$1.01,36.68
2021-03-31,39.19,$1.30,30.15
2020-12-31,32.22,$0.47,68.56
2020-09-30,28.83,$0.20,144.13
2020-06-30,22.88,$0.10,228.8
2020-03-31,17.97,$0.32,56.17
2019-12-31,25.24,$1.03,24.51
2019-09-30,24.56,$1.34,18.33
2019-06-30,28.41,$1.63,17.43
2019-03-31,28.11,$2.32,12.12
2018-12-31,25.51,$1.05,24.29
2018-09-30,29.64,$-0.93,0.0
2018-06-30,22.97,$-1.21,0.0
2018-03-31,23.12,$-1.57,0.0
2017-12-31,26.37,$-0.78,0.0
2017-09-30,24.54,$2.35,10.44
2017-06-30,24.52,$2.22,11.04
2017-03-31,21.91,$3.67,5.97
2016-12-31,19.59,$3.24,6.05
2016-09-30,18.98,$1.94,9.78
2016-06-30,16.34,$1.83,8.93
2016-03-31,16.55,$0.32,51.73
2015-12-31,14.38,$0.97,14.82
2015-09-30,13.38,$1.50,8.92
2015-06-30,15.31,$2.07,7.4
2015-03-31,17.5,$1.82,9.62
2014-12-31,17.61,$1.73,10.18
2014-09-30,14.78,$1.33,11.11
2014-06-30,16.69,$0.89,18.76
2014-03-31,15.76,$1.21,13.03
2013-12-31,13.42,$1.34,10.02
2013-09-30,10.92,$1.23,8.88
2013-06-30,10.58,$1.29,8.2
2013-03-31,9.85,$1.16,8.49
2012-12-31,9.25,$1.13,8.19
2012-09-30,9.56,$1.25,7.65
2012-06-30,9.34,$1.42,6.58
2012-03-31,10.12,$1.59,6.36
2011-12-31,9.28,$1.76,5.27
2011-09-30,8.79,$2.11,4.17
2011-06-30,12.87,$2.10,6.13
2011-03-31,14.59,$2.21,6.6
2010-12-31,13.63,$2.26,6.03
2010-09-30,12.86,$2.07,6.21
2010-06-30,11.33,$1.98,5.72
2010-03-31,14.13,$1.79,7.89
2009-12-31,13.46,$1.28,10.52
