Barrick Gold PE Ratio Historical Data,Barrick Gold PE Ratio Historical Data,Barrick Gold PE Ratio Historical Data,Barrick Gold PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,19.28,,15.67
2024-12-31,15.5,$1.23,12.6
2024-09-30,19.78,$0.93,21.27
2024-06-30,16.5,$0.86,19.19
2024-03-31,16.46,$0.82,20.08
2023-12-31,17.77,$0.72,24.69
2023-09-30,14.21,$0.03,473.82
2023-06-30,16.44,$-0.04,0.0
2023-03-31,17.92,$0.06,298.75
2022-12-31,16.48,$0.24,68.67
2022-09-30,14.73,$1.07,13.77
2022-06-30,16.59,$1.13,14.68
2022-03-31,22.78,$1.09,20.9
2021-12-31,17.57,$1.14,15.41
2021-09-30,16.61,$1.12,14.83
2021-06-30,18.95,$1.42,13.34
2021-03-31,18.07,$1.39,13.0
2020-12-31,20.69,$1.31,15.8
2020-09-30,25.43,$1.70,14.96
2020-06-30,24.31,$2.50,9.72
2020-03-31,16.48,$2.41,6.84
2019-12-31,16.67,$2.25,7.41
2019-09-30,15.49,$0.45,34.42
2019-06-30,14.07,$-1.20,0.0
2019-03-31,12.19,$-1.39,0.0
2018-12-31,12.04,$-1.31,0.0
2018-09-30,9.8,$-0.56,0.0
2018-06-30,11.58,$-0.22,0.0
2018-03-31,10.96,$0.79,13.87
2017-12-31,12.7,$1.23,10.33
2017-09-30,14.09,$1.86,7.58
2017-06-30,13.91,$2.02,6.89
2017-03-31,16.57,$1.21,13.7
2016-12-31,13.92,$0.56,24.87
2016-09-30,15.42,$-2.05,0.0
2016-06-30,18.56,$-2.43,0.0
2016-03-31,11.79,$-2.56,0.0
2015-12-31,6.4,$-2.44,0.0
2015-09-30,5.5,$-2.64,0.0
2015-06-30,9.19,$-2.30,0.0
2015-03-31,9.41,$-2.52,0.0
2014-12-31,9.19,$-2.49,0.0
2014-09-30,12.49,$-2.65,0.0
2014-06-30,15.55,$-2.59,0.0
2014-03-31,15.1,$-10.91,0.0
2013-12-31,14.89,$-10.14,0.0
2013-09-30,15.68,$-10.59,0.0
2013-06-30,13.22,$-10.14,0.0
2013-03-31,24.45,$-0.84,0.0
2012-12-31,28.93,$-0.66,0.0
2012-09-30,34.31,$3.36,10.21
2012-06-30,30.7,$4.10,7.49
2012-03-31,35.35,$4.51,7.84
2011-12-31,36.68,$4.48,8.19
2011-09-30,37.7,$4.42,8.53
2011-06-30,36.51,$3.90,9.36
2011-03-31,41.64,$3.53,11.79
2010-12-31,42.55,$3.29,12.93
2010-09-30,36.95,$2.60,14.21
2010-06-30,36.16,$-4.31,0.0
2010-03-31,30.38,$-4.54,0.0
2009-12-31,31.21,$-4.88,0.0
