Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data,Oracle PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,152.72,,47.14
2025-02-28,166.06,$3.24,51.25
2024-11-30,184.84,$4.09,45.19
2024-08-31,140.97,$3.88,36.33
2024-05-31,116.6,$3.71,31.43
2024-02-29,110.76,$3.79,29.22
2023-11-30,114.81,$3.62,31.71
2023-08-31,118.5,$3.36,35.27
2023-05-31,103.92,$3.06,33.96
2023-02-28,85.37,$3.03,28.17
2022-11-30,80.8,$3.19,25.33
2022-08-31,71.79,$2.10,34.19
2022-05-31,69.32,$2.40,28.88
2022-02-28,72.94,$2.61,27.95
2021-11-30,86.8,$3.45,25.16
2021-08-31,84.97,$4.71,18.04
2021-05-31,74.79,$4.57,16.37
2021-02-28,61.01,$4.19,14.56
2020-11-30,54.38,$3.30,16.48
2020-08-31,53.7,$3.19,16.83
2020-05-31,50.25,$3.10,16.21
2020-02-29,46.01,$3.18,14.47
2019-11-30,51.99,$3.15,16.51
2019-08-31,48.0,$3.07,15.64
2019-05-31,46.47,$3.01,15.44
2019-02-28,47.66,$2.76,17.27
2018-11-30,44.41,$1.02,43.53
2018-08-31,44.24,$0.93,47.57
2018-05-31,42.38,$0.88,48.16
2018-02-28,45.78,$0.82,55.82
2017-11-30,44.15,$2.33,18.95
2017-08-31,45.12,$2.29,19.7
2017-05-31,40.53,$2.20,18.42
2017-02-28,37.87,$2.10,18.03
2016-11-30,35.6,$2.07,17.2
2016-08-31,36.37,$2.10,17.32
2016-05-31,35.34,$2.07,17.07
2016-02-29,32.21,$2.03,15.87
2015-11-30,33.99,$2.09,16.26
2015-08-31,32.22,$2.14,15.06
2015-05-31,37.64,$2.22,16.96
2015-02-28,37.79,$2.40,15.75
2014-11-30,36.48,$2.40,15.2
2014-08-31,35.61,$2.40,14.84
2014-05-31,35.93,$2.39,15.03
2014-02-28,33.34,$2.39,13.95
2013-11-30,29.99,$2.35,12.76
2013-08-31,26.97,$2.32,11.63
2013-05-31,28.49,$2.26,12.61
2013-02-28,28.88,$2.15,13.43
2012-11-30,26.98,$2.12,12.73
2012-08-31,26.49,$2.02,13.12
2012-05-31,22.11,$1.97,11.22
2012-02-29,24.39,$1.90,12.84
2011-11-30,26.08,$1.82,14.33
2011-08-31,23.3,$1.76,13.24
2011-05-31,28.35,$1.67,16.98
2011-02-28,27.21,$1.51,18.02
2010-11-30,22.33,$1.33,16.79
2010-08-31,18.01,$1.25,14.4
2010-05-31,18.56,$1.20,15.47
2010-02-28,20.24,$1.12,18.07
2009-11-30,18.09,$1.15,15.73
