Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data,Accenture PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,300.91,,32.39
2025-02-28,348.5,$9.29,37.51
2024-11-30,362.37,$11.92,30.4
2024-08-31,340.55,$11.43,29.79
2024-05-31,279.93,$10.92,25.63
2024-02-29,370.17,$11.03,33.56
2023-11-30,327.85,$10.79,30.38
2023-08-31,317.31,$10.77,29.46
2023-05-31,298.75,$11.22,26.63
2023-02-28,258.31,$10.86,23.79
2022-11-30,291.56,$11.01,26.48
2022-08-31,278.24,$10.71,25.98
2022-05-31,286.86,$10.31,27.82
2022-02-28,302.83,$9.92,30.53
2021-11-30,341.61,$9.61,35.55
2021-08-31,320.75,$9.15,35.05
2021-05-31,268.15,$8.94,29.99
2021-02-28,237.71,$8.44,28.16
2020-11-30,235.19,$8.12,28.96
2020-08-31,225.67,$7.89,28.6
2020-05-31,188.95,$7.64,24.73
2020-02-29,168.45,$7.67,21.96
2019-11-30,186.91,$7.49,24.95
2019-08-31,183.35,$7.36,24.91
2019-05-31,164.75,$7.20,22.88
2019-02-28,148.09,$6.87,21.56
2018-11-30,150.97,$6.51,23.19
2018-08-31,153.73,$6.34,24.25
2018-05-31,141.61,$6.24,22.69
2018-02-28,145.1,$5.69,25.5
2017-11-30,133.39,$5.65,23.61
2017-08-31,116.71,$5.44,21.45
2017-05-31,111.1,$5.64,19.7
2017-02-28,108.21,$6.00,18.04
2016-11-30,105.5,$6.75,15.63
2016-08-31,100.55,$6.45,15.59
2016-05-31,104.02,$5.92,17.57
2016-02-29,86.83,$5.75,15.1
2015-11-30,92.85,$4.75,19.55
2015-08-31,80.77,$4.76,16.97
2015-05-31,82.29,$4.69,17.55
2015-02-28,76.32,$4.71,16.2
2014-11-30,73.18,$4.66,15.7
2014-08-31,67.8,$4.52,15.0
2014-05-31,68.13,$4.45,15.31
2014-02-28,68.9,$4.40,15.66
2013-11-30,64.04,$5.02,12.76
2013-08-31,58.95,$4.93,11.96
2013-05-31,66.99,$4.80,13.96
2013-02-28,60.04,$4.62,13.0
2012-11-30,54.84,$3.94,13.92
2012-08-31,49.16,$3.84,12.8
2012-05-31,45.57,$3.87,11.78
2012-02-29,47.02,$3.77,12.47
2011-11-30,45.75,$3.55,12.89
2011-08-31,41.83,$3.40,12.3
2011-05-31,44.8,$3.15,14.22
2011-02-28,39.87,$2.95,13.51
2010-11-30,33.55,$2.80,11.98
2010-08-31,28.06,$2.66,10.55
2010-05-31,28.77,$2.39,12.04
2010-02-28,30.38,$2.34,12.98
2009-11-30,31.2,$2.37,13.16
