Kennametal PE Ratio Historical Data,Kennametal PE Ratio Historical Data,Kennametal PE Ratio Historical Data,Kennametal PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.63,,17.73
2024-12-31,24.02,$1.22,19.69
2024-09-30,25.75,$1.28,20.12
2024-06-30,23.19,$1.37,16.93
2024-03-31,24.38,$1.35,18.06
2023-12-31,25.01,$1.50,16.67
2023-09-30,23.92,$1.48,16.16
2023-06-30,27.1,$1.45,18.69
2023-03-31,26.13,$1.50,17.42
2022-12-31,22.64,$1.53,14.8
2022-09-30,19.21,$1.63,11.79
2022-06-30,21.52,$1.72,12.51
2022-03-31,26.3,$1.63,16.14
2021-12-31,32.82,$1.47,22.32
2021-09-30,31.12,$1.33,23.4
2021-06-30,32.48,$0.64,50.74
2021-03-31,35.96,$0.12,299.69
2020-12-31,32.43,$-0.11,0.0
2020-09-30,25.74,$-0.41,0.0
2020-06-30,25.37,$-0.07,0.0
2020-03-31,16.32,$0.78,20.92
2019-12-31,32.11,$1.57,20.45
2019-09-30,26.6,$2.30,11.57
2019-06-30,31.79,$2.90,10.96
2019-03-31,31.4,$2.99,10.5
2018-12-31,28.28,$2.78,10.17
2018-09-30,36.83,$2.62,14.06
2018-06-30,30.2,$2.42,12.48
2018-03-31,33.61,$1.89,17.78
2017-12-31,40.32,$1.76,22.91
2017-09-30,33.45,$1.35,24.78
2017-06-30,30.84,$0.60,51.41
2017-03-31,32.17,$-0.53,0.0
2016-12-31,25.5,$-0.81,0.0
2016-09-30,23.51,$-3.02,0.0
2016-06-30,17.79,$-2.83,0.0
2016-03-31,17.94,$-1.74,0.0
2015-12-31,15.14,$-2.52,0.0
2015-09-30,19.49,$-5.29,0.0
2015-06-30,26.54,$-4.72,0.0
2015-03-31,26.08,$-4.41,0.0
2014-12-31,27.57,$-3.19,0.0
2014-09-30,31.68,$2.00,15.84
2014-06-30,35.34,$1.99,17.76
2014-03-31,33.7,$2.18,15.46
2013-12-31,39.44,$2.21,17.85
2013-09-30,34.41,$2.43,14.16
2013-06-30,29.18,$2.52,11.58
2013-03-31,29.22,$2.82,10.36
2012-12-31,29.83,$3.08,9.68
2012-09-30,27.53,$3.47,7.93
2012-06-30,24.5,$3.78,6.48
2012-03-31,32.8,$3.76,8.72
2011-12-31,26.82,$3.60,7.45
2011-09-30,23.96,$3.21,7.46
2011-06-30,30.78,$2.75,11.19
2011-03-31,28.35,$2.20,12.89
2010-12-31,28.6,$1.55,18.45
2010-09-30,22.34,$1.10,20.31
2010-06-30,18.29,$0.56,32.66
2010-03-31,20.14,$-0.38,0.0
2009-12-31,18.47,$-2.40,0.0
