Embecta PE Ratio Historical Data,Embecta PE Ratio Historical Data,Embecta PE Ratio Historical Data,Embecta PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.23,,13.23
2024-12-31,20.65,$1.00,20.65
2024-09-30,14.1,$1.35,10.44
2024-06-30,12.5,$1.20,10.42
2024-03-31,13.27,$1.21,10.97
2023-12-31,18.93,$0.95,19.93
2023-09-30,15.05,$1.21,12.44
2023-06-30,21.6,$0.81,26.67
2023-03-31,27.97,$1.62,17.26
