Star Bulk Carriers PE Ratio Historical Data,Star Bulk Carriers PE Ratio Historical Data,Star Bulk Carriers PE Ratio Historical Data,Star Bulk Carriers PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.15,,6.83
2024-12-31,14.95,$2.51,5.96
2024-09-30,22.86,$2.96,7.72
2024-06-30,22.77,$2.72,8.37
2024-03-31,21.66,$2.22,9.75
2023-12-31,18.93,$1.77,10.7
2023-09-30,17.0,$2.16,7.87
2023-06-30,15.26,$2.78,5.49
2023-03-31,17.87,$4.30,4.16
2022-12-31,15.87,$5.53,2.87
2022-09-30,13.57,$7.62,1.78
2022-06-30,18.14,$8.70,2.08
2022-03-31,20.47,$7.97,2.57
2021-12-31,14.56,$6.66,2.19
2021-09-30,14.58,$4.02,3.63
2021-06-30,13.46,$2.11,6.38
2021-03-31,8.48,$0.43,19.72
2020-12-31,5.1,$0.10,51.0
2020-09-30,3.98,$0.05,79.6
2020-06-30,3.81,$-0.13,0.0
2020-03-31,3.26,$-0.11,0.0
2019-12-31,6.78,$-0.20,0.0
2019-09-30,5.76,$-0.31,0.0
2019-06-30,5.52,$-0.07,0.0
2019-03-31,3.76,$0.54,6.97
2018-12-31,5.23,$0.75,6.97
2018-09-30,8.26,$0.99,8.34
2018-06-30,7.35,$0.57,12.9
2018-03-31,6.65,$0.24,27.7
2017-12-31,6.44,$-0.17,0.0
2017-09-30,5.55,$-1.12,0.0
2017-06-30,5.62,$-1.86,0.0
2017-03-31,6.79,$-2.45,0.0
2016-12-31,2.92,$-3.30,0.0
2016-09-30,2.6,$-2.72,0.0
2016-06-30,1.69,$-2.81,0.0
2016-03-31,2.14,$-3.36,0.0
2015-12-31,1.73,$-2.65,0.0
2015-09-30,5.86,$-2.65,0.0
2015-03-31,10.38,$-2.20,0.0
2014-12-31,18.75,$-1.05,0.0
2014-09-30,31.5,$-0.65,0.0
2014-06-30,37.08,$-0.70,0.0
2014-03-31,40.79,$0.55,74.17
2013-12-31,38.1,$1.75,21.77
2013-09-30,28.96,$0.45,64.35
2013-06-30,15.64,$-285.25,0.0
2013-03-31,20.35,$-290.50,0.0
2012-12-31,17.67,$-291.55,0.0
2012-09-30,25.83,$-354.72,0.0
2012-06-30,29.99,$-71.96,0.0
2012-03-31,36.72,$-65.22,0.0
2011-12-31,35.77,$-62.97,0.0
2011-09-30,49.79,$26.24,1.9
2011-06-30,77.23,$30.74,2.51
2011-03-31,87.57,$35.98,2.43
2010-12-31,95.54,$-6.75,0.0
2010-09-30,100.23,$-36.73,0.0
2010-06-30,83.66,$-127.44,0.0
2010-03-31,98.72,$-139.43,0.0
2009-12-31,94.03,$-71.21,0.0
