Reservoir Media PE Ratio Historical Data,Reservoir Media PE Ratio Historical Data,Reservoir Media PE Ratio Historical Data,Reservoir Media PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.49,,68.09
2024-12-31,9.05,$0.11,82.27
2024-09-30,8.11,$-0.02,0.0
2024-06-30,7.9,$-0.01,0.0
2024-03-31,7.93,0,0.0
2023-12-31,7.13,0,0.0
2023-09-30,6.1,$-0.02,0.0
2023-06-30,6.02,$0.04,150.5
2023-03-31,6.52,$0.04,163.0
2022-12-31,5.97,$0.14,42.64
2022-09-30,4.88,$0.24,20.33
2022-06-30,6.52,$0.25,26.08
2022-03-31,9.83,$0.25,39.32
2021-12-31,7.91,$0.11,71.91
