BitFuFu PE Ratio Historical Data,BitFuFu PE Ratio Historical Data,BitFuFu PE Ratio Historical Data,BitFuFu PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.51,,21.48
2024-09-30,4.04,$0.21,19.24
2024-06-30,4.7,$0.24,19.58
2024-03-31,4.94,$0.23,21.49
2023-12-31,10.91,0,0.0
2023-09-30,10.73,0,0.0
