Brightcove PE Ratio Historical Data,Brightcove PE Ratio Historical Data,Brightcove PE Ratio Historical Data,Brightcove PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,4.38,,0.0
2024-09-30,2.16,$-0.21,0.0
2024-06-30,2.37,$-0.20,0.0
2024-03-31,1.94,$-0.22,0.0
2023-12-31,2.59,$-0.54,0.0
2023-09-30,3.29,$-0.61,0.0
2023-06-30,4.01,$-0.59,0.0
2023-03-31,4.45,$-0.46,0.0
2022-12-31,5.23,$-0.22,0.0
2022-09-30,6.3,$-0.08,0.0
2022-06-30,6.32,$-0.06,0.0
2022-03-31,7.8,$-0.03,0.0
2021-12-31,10.22,$0.13,78.62
2021-09-30,11.54,$0.17,67.88
2021-06-30,14.35,$0.22,65.23
2021-03-31,20.12,$0.17,118.35
2020-12-31,18.4,$-0.15,0.0
2020-09-30,10.24,$-0.37,0.0
2020-06-30,7.88,$-0.48,0.0
2020-03-31,6.97,$-0.64,0.0
2019-12-31,8.69,$-0.58,0.0
2019-09-30,10.48,$-0.48,0.0
2019-06-30,10.33,$-0.50,0.0
2019-03-31,8.41,$-0.47,0.0
2018-12-31,7.04,$-0.39,0.0
2018-09-30,8.4,$-0.36,0.0
2018-06-30,9.65,$-0.42,0.0
2018-03-31,6.95,$-0.48,0.0
2017-12-31,7.1,$-0.57,0.0
2017-09-30,7.2,$-0.66,0.0
2017-06-30,6.2,$-0.55,0.0
2017-03-31,8.9,$-0.40,0.0
2016-12-31,8.05,$-0.30,0.0
2016-09-30,13.05,$-0.16,0.0
2016-06-30,8.8,$-0.15,0.0
2016-03-31,6.24,$-0.19,0.0
2015-12-31,6.2,$-0.23,0.0
2015-09-30,4.92,$-0.36,0.0
2015-06-30,6.86,$-0.44,0.0
2015-03-31,7.33,$-0.46,0.0
2014-12-31,7.78,$-0.53,0.0
2014-09-30,5.58,$-0.45,0.0
2014-06-30,10.54,$-0.37,0.0
2014-03-31,9.83,$-0.36,0.0
2013-12-31,14.14,$-0.35,0.0
2013-09-30,11.25,$-0.48,0.0
2013-06-30,8.76,$-0.46,0.0
2013-03-31,6.21,$-0.50,0.0
2012-12-31,9.04,$-0.62,0.0
