ONE Gas PE Ratio Historical Data,ONE Gas PE Ratio Historical Data,ONE Gas PE Ratio Historical Data,ONE Gas PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,74.15,,18.96
2024-12-31,69.25,$3.91,17.71
2024-09-30,73.78,$3.84,19.21
2024-06-30,62.68,$3.95,15.87
2024-03-31,62.7,$4.05,15.48
2023-12-31,61.25,$4.14,14.79
2023-09-30,64.94,$4.10,15.84
2023-06-30,72.42,$4.09,17.71
2023-03-31,74.09,$4.10,18.07
2022-12-31,70.24,$4.09,17.17
2022-09-30,64.8,$3.98,16.28
2022-06-30,74.18,$3.92,18.92
2022-03-31,80.04,$3.89,20.58
2021-12-31,69.82,$3.85,18.14
2021-09-30,56.54,$3.82,14.8
2021-06-30,65.61,$3.83,17.13
2021-03-31,67.56,$3.75,18.02
2020-12-31,66.91,$3.68,18.18
2020-09-30,59.72,$3.55,16.82
2020-06-30,66.21,$3.49,18.97
2020-03-31,71.36,$3.47,20.56
2019-12-31,79.4,$3.51,22.62
2019-09-30,81.08,$3.39,23.92
2019-06-30,75.76,$3.37,22.48
2019-03-31,74.27,$3.30,22.5
2018-12-31,66.01,$3.26,20.25
2018-09-30,67.85,$3.31,20.5
2018-06-30,61.26,$3.36,18.23
2018-03-31,53.78,$3.36,16.0
2017-12-31,59.26,$3.08,19.24
2017-09-30,59.24,$2.99,19.81
2017-06-30,55.84,$2.87,19.46
2017-03-31,53.74,$2.86,18.79
2016-12-31,50.52,$2.64,19.14
2016-09-30,48.56,$2.58,18.82
2016-06-30,52.0,$2.48,20.97
2016-03-31,47.44,$2.33,20.36
2015-12-31,38.72,$2.24,17.29
2015-09-30,34.77,$2.19,15.87
2015-06-30,32.42,$2.14,15.15
2015-03-31,32.7,$2.09,15.64
2014-12-31,30.96,$2.09,14.81
