Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data,Marriott PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,244.84,,29.43
2024-12-31,278.94,$8.32,33.53
2024-09-30,248.05,$9.56,25.95
2024-06-30,240.55,$10.00,24.05
2024-03-31,250.35,$9.69,25.84
2023-12-31,223.28,$10.19,21.91
2023-09-30,194.13,$9.44,20.56
2023-06-30,180.97,$8.87,20.4
2023-03-31,163.08,$8.55,19.07
2022-12-31,145.9,$7.26,20.1
2022-09-30,136.99,$6.56,20.88
2022-06-30,132.71,$5.29,25.09
2022-03-31,171.18,$4.51,37.95
2021-12-31,160.94,$3.34,48.19
2021-09-30,144.24,$1.42,101.57
2021-06-30,132.97,$1.06,125.44
2021-03-31,144.25,$-0.94,0.0
2020-12-31,128.49,$-0.82,0.0
2020-09-30,90.17,$0.53,170.13
2020-06-30,83.5,$1.38,60.51
2020-03-31,72.86,$2.79,26.12
2019-12-31,146.9,$3.79,38.76
2019-09-30,120.21,$3.86,31.14
2019-06-30,135.1,$4.08,33.11
2019-03-31,119.99,$5.10,23.53
2018-12-31,103.8,$5.10,20.35
2018-09-30,125.79,$4.72,26.65
2018-06-30,120.22,$4.38,27.45
2018-03-31,128.75,$3.75,34.33
2017-12-31,128.21,$3.60,35.61
2017-09-30,103.88,$3.68,28.23
2017-06-30,94.2,$2.90,32.48
2017-03-31,88.16,$2.78,31.71
2016-12-31,77.13,$2.69,28.67
2016-09-30,62.57,$2.84,22.03
2016-06-30,61.5,$3.36,18.3
2016-03-31,65.57,$3.27,20.05
2015-12-31,61.52,$3.15,19.53
2015-09-30,62.4,$3.06,20.39
2015-06-30,67.8,$2.93,23.14
2015-03-31,72.98,$2.70,27.03
2014-12-31,70.72,$2.54,27.84
2014-09-30,63.19,$2.35,26.89
2014-06-30,57.78,$2.22,26.03
2014-03-31,50.32,$2.15,23.41
2013-12-31,44.19,$2.01,21.99
2013-09-30,37.53,$2.08,18.04
2013-06-30,35.87,$2.00,17.93
2013-03-31,37.37,$1.85,20.2
2012-12-31,32.87,$1.72,19.11
2012-09-30,34.36,$1.57,21.88
2012-06-30,34.33,$0.61,56.27
2012-03-31,33.03,$0.56,58.99
2011-12-31,25.38,$0.52,48.81
2011-09-30,22.28,$0.57,39.09
2011-06-30,28.93,$1.31,22.08
2011-03-31,28.92,$1.25,23.14
2010-12-31,33.69,$1.21,27.84
2010-09-30,28.99,$1.03,28.15
2010-06-30,24.2,$-0.50,0.0
2010-03-31,25.44,$-0.71,0.0
2009-12-31,21.96,$-0.99,0.0
