J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data,J M Smucker PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,109.35,,0.0
2025-01-31,106.89,$-2.41,0.0
2024-10-31,112.37,$4.94,22.75
2024-07-31,115.72,$7.07,16.37
2024-04-30,111.65,$7.12,15.68
2024-01-31,126.81,$-0.88,0.0
2023-10-31,108.7,$-0.06,0.0
2023-07-31,142.78,$-0.17,0.0
2023-04-30,145.4,$-0.93,0.0
2023-01-31,142.88,$6.64,21.52
2022-10-31,139.92,$5.33,26.25
2022-07-31,121.95,$5.44,22.42
2022-04-30,125.34,$5.83,21.5
2022-01-31,127.73,$5.31,24.05
2021-10-31,110.77,$6.99,15.85
2021-07-31,117.32,$7.11,16.5
2021-04-30,116.45,$7.77,14.99
2021-01-31,102.67,$8.40,12.22
2020-10-31,98.21,$7.72,12.72
2020-07-31,94.97,$7.55,12.58
2020-04-30,99.04,$6.83,14.5
2020-01-31,88.57,$5.48,16.16
2019-10-31,89.59,$4.91,18.25
2019-07-31,93.53,$4.72,19.82
2019-04-30,102.46,$4.53,22.62
2019-01-31,86.91,$5.54,15.69
2018-10-31,89.09,$11.79,7.56
2018-07-31,90.7,$11.84,7.66
2018-04-30,92.49,$11.79,7.84
2018-01-31,102.2,$11.11,9.2
2017-10-31,84.77,$4.95,17.12
2017-07-31,96.82,$4.76,20.34
2017-04-30,100.05,$5.10,19.62
2017-01-31,106.67,$5.75,18.55
2016-10-31,102.53,$6.14,16.7
2016-07-31,119.79,$6.09,19.67
2016-04-30,98.16,$5.77,17.01
2016-01-31,98.68,$3.34,29.55
2015-10-31,89.75,$3.37,26.63
2015-07-31,84.87,$3.45,24.6
2015-04-30,87.61,$3.45,25.39
2015-01-31,77.51,$5.43,14.27
2014-10-31,77.65,$5.44,14.27
2014-07-31,73.94,$5.35,13.82
2014-04-30,71.32,$5.40,13.21
2014-01-31,70.67,$5.46,12.94
2013-10-31,81.1,$5.29,15.33
2013-07-31,81.64,$5.19,15.73
2013-04-30,74.52,$5.00,14.9
2013-01-31,63.62,$4.71,13.51
2012-10-31,61.1,$4.32,14.14
2012-07-31,54.42,$4.08,13.34
2012-04-30,56.07,$4.06,13.81
2012-01-31,55.14,$3.95,13.96
2011-10-31,53.58,$4.03,13.3
2011-07-31,53.85,$4.16,12.94
2011-04-30,51.57,$4.04,12.77
2011-01-31,42.41,$4.23,10.03
2010-10-31,43.58,$4.26,10.23
2010-07-31,41.36,$4.19,9.87
2010-04-30,40.84,$4.16,9.82
2010-01-31,39.93,$3.95,10.11
2009-10-31,34.83,$3.49,9.98
