Carlyle Secured Lending PE Ratio Historical Data,Carlyle Secured Lending PE Ratio Historical Data,Carlyle Secured Lending PE Ratio Historical Data,Carlyle Secured Lending PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.2,,10.62
2024-12-31,17.93,$1.62,11.07
2024-09-30,16.97,$1.79,9.48
2024-06-30,17.26,$1.98,8.72
2024-03-31,15.43,$1.71,9.02
2023-12-31,13.77,$1.69,8.15
2023-09-30,12.97,$1.35,9.61
2023-06-30,12.64,$1.52,8.32
2023-03-31,11.48,$1.51,7.6
2022-12-31,11.68,$1.54,7.58
2022-09-30,9.05,$1.89,4.79
2022-06-30,9.72,$1.98,4.91
2022-03-31,10.67,$2.63,4.06
2021-12-31,9.91,$2.70,3.67
2021-09-30,9.4,$2.74,3.43
2021-06-30,9.01,$2.49,3.62
2021-03-31,8.77,$2.71,3.23
2020-12-31,6.63,$-0.01,0.0
2020-09-30,5.56,$-0.17,0.0
2020-06-30,5.14,$-0.87,0.0
2020-03-31,3.0,$-1.65,0.0
2019-12-31,7.2,$1.02,7.06
2019-09-30,7.44,$0.54,13.78
2019-06-30,7.68,$0.79,9.72
2019-03-31,7.08,$0.84,8.43
2018-12-31,5.92,$0.63,9.39
2018-09-30,7.63,$1.09,7.0
2018-06-30,7.61,$1.40,5.44
2018-03-31,7.83,$1.53,5.12
