Vishay Intertechnology PE Ratio Historical Data,Vishay Intertechnology PE Ratio Historical Data,Vishay Intertechnology PE Ratio Historical Data,Vishay Intertechnology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.21,,0.0
2024-12-31,16.94,$-0.24,0.0
2024-09-30,18.81,$0.62,30.34
2024-06-30,22.06,$1.23,17.93
2024-03-31,22.33,$1.74,12.84
2023-12-31,23.5,$2.31,10.17
2023-09-30,24.13,$2.45,9.85
2023-06-30,28.59,$2.96,9.66
2023-03-31,21.92,$3.06,7.16
2022-12-31,20.8,$2.98,6.98
2022-09-30,17.08,$2.72,6.28
2022-06-30,17.02,$2.41,7.06
2022-03-31,18.61,$2.27,8.2
2021-12-31,20.66,$2.05,10.08
2021-09-30,18.89,$2.06,9.17
2021-06-30,21.11,$1.62,13.03
2021-03-31,22.45,$1.15,19.52
2020-12-31,19.23,$0.85,22.62
2020-09-30,14.39,$0.69,20.85
2020-06-30,14.02,$0.67,20.93
2020-03-31,13.15,$0.81,16.24
2019-12-31,19.31,$1.14,16.93
2019-09-30,15.28,$1.73,8.83
2019-06-30,14.83,$2.03,7.31
2019-03-31,16.48,$2.37,6.95
2018-12-31,16.0,$2.24,7.14
2018-09-30,18.01,$0.32,56.27
2018-06-30,20.45,$0.22,92.95
2018-03-31,16.34,$-0.07,0.0
2017-12-31,18.16,$-0.22,0.0
2017-09-30,16.4,$0.68,24.12
2017-06-30,14.43,$0.51,28.3
2017-03-31,14.25,$0.37,38.51
2016-12-31,13.98,$0.32,43.68
2016-09-30,12.11,$-0.28,0.0
2016-06-30,10.6,$-0.71,0.0
2016-03-31,10.39,$-0.76,0.0
2015-12-31,10.2,$-0.75,0.0
2015-09-30,8.17,$0.37,22.07
2015-06-30,9.78,$0.73,13.4
2015-03-31,11.52,$0.79,14.58
2014-12-31,11.74,$0.76,15.45
2014-09-30,11.81,$0.77,15.33
2014-06-30,12.75,$0.82,15.55
2014-03-31,12.2,$0.80,15.25
2013-12-31,10.83,$0.82,13.2
2013-09-30,10.53,$0.76,13.85
2013-06-30,11.34,$0.69,16.44
2013-03-31,11.11,$0.77,14.43
2012-12-31,8.68,$0.79,10.99
2012-09-30,8.03,$0.84,9.56
2012-06-30,7.7,$1.00,7.7
2012-03-31,9.93,$1.19,8.34
2011-12-31,7.34,$1.41,5.21
2011-09-30,6.83,$2.03,3.36
2011-06-30,12.28,$2.19,5.61
2011-03-31,14.49,$2.11,6.87
2010-12-31,11.99,$1.92,6.24
2010-09-30,7.9,$1.26,6.27
2010-06-30,5.72,$0.80,7.15
2010-03-31,7.56,$0.08,94.47
2009-12-31,6.17,$-0.32,0.0
