Eco Wave Power Global AB (publ) PE Ratio Historical Data,Eco Wave Power Global AB (publ) PE Ratio Historical Data,Eco Wave Power Global AB (publ) PE Ratio Historical Data,Eco Wave Power Global AB (publ) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.28,,0.0
2024-12-31,11.0,$-0.39,0.0
2024-09-30,5.92,$-0.43,0.0
2024-06-30,2.92,$-0.36,0.0
2024-03-31,1.04,$-0.35,0.0
2023-12-31,1.24,$-0.35,0.0
2023-09-30,2.85,$-0.35,0.0
2023-06-30,2.5,$-0.40,0.0
2023-03-31,2.8,$-0.43,0.0
2022-12-31,2.98,$-0.51,0.0
2022-09-30,3.85,$-0.35,0.0
2022-06-30,4.24,$-0.35,0.0
