Avinger PE Ratio Historical Data,Avinger PE Ratio Historical Data,Avinger PE Ratio Historical Data,Avinger PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-02-14,0.47,,0.0
2024-09-30,0.95,$-11.06,0.0
2024-06-30,1.86,$-12.16,0.0
2024-03-31,3.1,$-18.19,0.0
2023-12-31,2.71,$-26.34,0.0
2023-09-30,5.39,$-32.91,0.0
2023-06-30,10.95,$-41.53,0.0
2023-03-31,12.3,$-46.78,0.0
2022-12-31,16.28,$-71.07,0.0
2022-09-30,17.25,$-79.46,0.0
2022-06-30,21.9,$-85.91,0.0
2022-03-31,54.45,$-83.81,0.0
2021-12-31,135.0,$-69.87,0.0
2021-09-30,223.2,$-71.97,0.0
2021-06-30,369.0,$-77.96,0.0
2021-03-31,453.0,$-119.94,0.0
2020-12-31,132.03,$-239.88,0.0
2020-09-30,96.63,$-392.80,0.0
2020-06-30,92.85,$-578.71,0.0
2020-03-31,124.5,$-785.61,0.0
2019-12-31,342.0,"$-1,064.47",0.0
2019-09-30,249.03,"$-1,820.09",0.0
2019-06-30,909.0,"$-3,289.36",0.0
2019-03-31,2868.9,"$-5,967.02",0.0
2018-12-31,900.0,"$-21,649.18",0.0
2018-09-30,3960.0,"$-58,440.78",0.0
2018-06-30,5010.0,"$-108,335.83",0.0
2018-03-31,3990.0,"$-170,164.92",0.0
2017-12-31,21840.0,"$-230,824.59",0.0
2017-09-30,45648.0,"$-262,668.66",0.0
2017-06-30,53808.0,"$-298,650.68",0.0
2017-03-31,227999.99,"$-361,019.46",0.0
2016-12-31,443999.98,"$-437,781.04",0.0
2016-09-30,572399.97,"$-496,551.63",0.0
2016-06-30,1431599.93,"$-538,530.60",0.0
2016-03-31,1149599.94,"$-510,944.42",0.0
2015-12-31,2725199.86,"$-540,929.42",0.0
