Bank Of N.T Butterfield & Son PE Ratio Historical Data,Bank Of N.T Butterfield & Son PE Ratio Historical Data,Bank Of N.T Butterfield & Son PE Ratio Historical Data,Bank Of N.T Butterfield & Son PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.51,,8.16
2024-12-31,36.55,$4.72,7.74
2024-09-30,36.45,$4.49,8.12
2024-06-30,34.27,$4.32,7.93
2024-03-31,30.83,$4.45,6.93
2023-12-31,30.4,$4.56,6.67
2023-09-30,25.3,$4.71,5.37
2023-06-30,25.18,$4.87,5.17
2023-03-31,24.41,$4.64,5.26
2022-12-31,26.62,$4.29,6.21
2022-09-30,28.6,$3.87,7.39
2022-06-30,27.11,$3.52,7.7
2022-03-31,30.74,$3.32,9.26
2021-12-31,32.29,$3.26,9.9
2021-09-30,29.75,$3.27,9.1
2021-06-30,29.32,$3.08,9.52
2021-03-31,31.25,$2.96,10.56
2020-12-31,25.16,$2.90,8.68
2020-09-30,17.75,$2.87,6.18
2020-06-30,19.1,$3.05,6.26
2020-03-31,13.04,$3.10,4.21
2019-12-31,27.93,$3.29,8.49
2019-09-30,22.07,$3.39,6.51
2019-06-30,24.91,$3.50,7.12
2019-03-31,26.03,$3.67,7.09
2018-12-31,22.5,$3.50,6.43
2018-09-30,36.88,$3.30,11.18
2018-06-30,32.27,$3.14,10.28
2018-03-31,31.43,$2.90,10.84
2017-12-31,25.21,$2.76,9.13
2017-09-30,25.23,$1.85,13.64
2017-06-30,23.26,$1.52,15.3
