Immersion PE Ratio Historical Data,Immersion PE Ratio Historical Data,Immersion PE Ratio Historical Data,Immersion PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.56,,9.11
2025-01-31,8.37,$0.83,10.08
2024-10-31,8.43,$0.83,10.16
2024-06-30,9.32,0,0.0
2024-04-30,7.2,0,0.0
2024-03-31,7.36,0,0.0
2023-12-31,6.9,0,0.0
2023-09-30,6.43,0,0.0
2023-06-30,6.86,0,0.0
2023-03-31,8.64,0,0.0
2022-12-31,6.68,0,0.0
2022-09-30,5.21,0,0.0
2022-06-30,5.07,0,0.0
2022-03-31,5.28,0,0.0
2021-12-31,5.42,0,0.0
2021-09-30,6.5,0,0.0
2021-06-30,8.33,0,0.0
2021-03-31,9.1,0,0.0
2020-12-31,10.72,0,0.0
2020-09-30,6.7,0,0.0
2020-06-30,5.92,0,0.0
2020-03-31,5.09,0,0.0
2019-12-31,7.06,0,0.0
2019-09-30,7.27,0,0.0
2019-06-30,7.23,0,0.0
2019-03-31,8.01,0,0.0
2018-12-31,8.51,0,0.0
2018-09-30,10.04,0,0.0
2018-06-30,14.66,0,0.0
2018-03-31,11.35,0,0.0
2017-12-31,6.71,0,0.0
2017-09-30,7.76,0,0.0
2017-06-30,8.62,0,0.0
2017-03-31,8.23,0,0.0
2016-12-31,10.1,0,0.0
2016-09-30,7.75,0,0.0
2016-06-30,6.97,0,0.0
2016-03-31,7.85,0,0.0
2015-12-31,11.07,0,0.0
2015-09-30,10.67,0,0.0
2015-06-30,12.03,0,0.0
2015-03-31,8.72,0,0.0
2014-12-31,8.99,0,0.0
2014-09-30,8.15,0,0.0
2014-06-30,12.08,0,0.0
2014-03-31,10.02,0,0.0
2013-12-31,9.86,0,0.0
2013-09-30,12.54,0,0.0
2013-06-30,12.58,0,0.0
2013-03-31,11.15,0,0.0
2012-12-31,6.52,0,0.0
2012-09-30,5.2,0,0.0
2012-06-30,5.35,0,0.0
2012-03-31,5.19,0,0.0
2011-12-31,4.92,0,0.0
2011-09-30,5.68,0,0.0
2011-06-30,8.1,0,0.0
2011-03-31,7.24,0,0.0
2010-12-31,6.37,0,0.0
2010-09-30,5.61,0,0.0
2010-06-30,4.81,0,0.0
2010-03-31,4.75,0,0.0
2009-12-31,4.35,0,0.0
