Agora PE Ratio Historical Data,Agora PE Ratio Historical Data,Agora PE Ratio Historical Data,Agora PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.93,,0.0
2024-09-30,2.41,$-0.49,0.0
2024-06-30,2.12,$-0.46,0.0
2024-03-31,2.51,$-0.81,0.0
2023-12-31,2.63,$-0.87,0.0
2023-09-30,2.53,$-1.16,0.0
2023-06-30,3.13,$-1.18,0.0
2023-03-31,3.62,$-1.00,0.0
2022-12-31,3.91,$-1.08,0.0
2022-09-30,3.63,$-0.95,0.0
2022-06-30,6.57,$-0.89,0.0
2022-03-31,9.94,$-0.76,0.0
2021-12-31,16.21,$-0.66,0.0
2021-09-30,29.0,$-0.53,0.0
2021-06-30,41.96,$-0.37,0.0
2021-03-31,50.27,$-4.83,0.0
