Dingdong (Cayman) PE Ratio Historical Data,Dingdong (Cayman) PE Ratio Historical Data,Dingdong (Cayman) PE Ratio Historical Data,Dingdong (Cayman) PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.83,,31.44
2024-09-30,3.55,$0.09,39.44
2024-06-30,1.99,0,0.0
2024-03-31,1.22,$-0.03,0.0
2023-12-31,1.5,$-0.06,0.0
2023-09-30,1.95,$-0.03,0.0
2023-06-30,3.09,$-0.26,0.0
2023-03-31,3.86,$-0.26,0.0
2022-12-31,4.27,$-0.58,0.0
2022-09-30,3.56,$-1.41,0.0
2022-06-30,5.53,$-2.62,0.0
2022-03-31,3.55,$-10.32,0.0
