Maiden Holdings PE Ratio Historical Data,Maiden Holdings PE Ratio Historical Data,Maiden Holdings PE Ratio Historical Data,Maiden Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.69,,0.0
2024-12-31,1.69,$-0.44,0.0
2024-09-30,1.77,$-0.65,0.0
2024-06-30,2.06,$-0.33,0.0
2024-03-31,2.25,$-0.26,0.0
2023-12-31,2.29,$-0.38,0.0
2023-09-30,1.76,$0.25,7.04
2023-06-30,2.1,$0.19,11.05
2023-03-31,2.09,$0.51,4.1
2022-12-31,2.11,$0.64,3.3
2022-09-30,2.15,$0.41,5.24
2022-06-30,1.94,$0.53,3.66
2022-03-31,2.41,$0.55,4.38
2021-12-31,3.06,$1.36,2.25
2021-09-30,3.16,$1.73,1.83
2021-06-30,3.37,$1.73,1.95
2021-03-31,3.3,$1.53,2.16
2020-12-31,2.49,$0.95,2.62
2020-09-30,1.22,$0.13,9.38
2020-06-30,1.24,$-0.60,0.0
2020-03-31,0.91,$-0.90,0.0
2019-12-31,0.75,$-1.59,0.0
2019-09-30,0.75,$-4.58,0.0
2019-06-30,0.64,$-7.60,0.0
2019-03-31,0.74,$-7.48,0.0
2018-12-31,1.65,$-6.88,0.0
2018-09-30,2.85,$-5.22,0.0
2018-06-30,7.62,$-2.24,0.0
2018-03-31,6.27,$-2.43,0.0
2017-12-31,6.22,$-2.36,0.0
2017-09-30,7.33,$-1.64,0.0
2017-06-30,10.04,$-0.50,0.0
2017-03-31,12.49,$0.15,83.29
2016-12-31,15.41,$0.27,57.06
2016-09-30,10.99,$1.46,7.53
2016-06-30,10.6,$1.36,7.79
2016-03-31,11.07,$1.24,8.93
2015-12-31,12.62,$1.30,9.71
2015-09-30,11.65,$1.34,8.69
2015-06-30,13.12,$1.40,9.37
2015-03-31,12.22,$1.47,8.32
2014-12-31,10.45,$1.00,10.45
2014-09-30,8.96,$0.91,9.85
2014-06-30,9.69,$0.85,11.39
2014-03-31,9.91,$0.78,12.7
2013-12-31,8.6,$1.18,7.29
2013-09-30,9.2,$0.77,11.95
2013-06-30,8.68,$0.77,11.27
2013-03-31,8.12,$0.70,11.6
2012-12-31,6.99,$0.64,10.92
2012-09-30,6.63,$1.02,6.5
2012-06-30,6.41,$0.94,6.82
2012-03-31,6.59,$0.41,16.07
2011-12-31,6.36,$0.40,15.89
2011-09-30,5.31,$0.42,12.65
2011-06-30,6.47,$0.46,14.08
2011-03-31,5.29,$1.05,5.04
2010-12-31,5.5,$0.97,5.67
2010-09-30,5.28,$0.95,5.55
2010-06-30,4.52,$0.90,5.02
2010-03-31,5.03,$0.87,5.78
2009-12-31,4.94,$0.87,5.68
