Alexander's PE Ratio Historical Data,Alexander's PE Ratio Historical Data,Alexander's PE Ratio Historical Data,Alexander's PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,214.65,,25.37
2024-12-31,200.06,$8.46,23.65
2024-09-30,237.71,$9.24,25.73
2024-06-30,215.97,$10.04,21.51
2024-03-31,204.44,$20.92,9.77
2023-12-31,197.12,$19.97,9.87
2023-09-30,164.39,$19.37,8.49
2023-06-30,162.02,$20.22,8.01
2023-03-31,166.41,$10.60,15.7
2022-12-31,185.48,$11.25,16.49
2022-09-30,172.82,$23.85,7.25
2022-06-30,180.47,$23.12,7.81
2022-03-31,204.33,$25.28,8.08
2021-12-31,204.14,$25.93,7.87
2021-09-30,201.15,$14.36,14.01
2021-06-30,203.46,$13.43,15.15
2021-03-31,207.17,$10.79,19.2
2020-12-31,203.77,$8.19,24.88
2020-09-30,176.82,$7.41,23.86
2020-06-30,170.71,$9.34,18.28
2020-03-31,192.13,$9.13,21.04
2019-12-31,227.0,$11.73,19.35
2019-09-30,236.29,$10.86,21.76
2019-06-30,248.06,$10.57,23.47
2019-03-31,251.99,$11.80,21.35
2018-12-31,201.31,$6.41,31.41
2018-09-30,223.54,$7.96,28.08
2018-06-30,246.12,$9.00,27.35
2018-03-31,242.4,$9.61,25.22
2017-12-31,248.68,$15.75,15.79
2017-09-30,263.66,$16.48,16.0
2017-06-30,259.41,$16.62,15.61
2017-03-31,263.12,$16.84,15.62
2016-12-31,257.53,$16.91,15.23
2016-09-30,250.44,$17.29,14.48
2016-06-30,242.08,$16.73,14.47
2016-03-31,222.81,$15.86,14.05
2015-12-31,222.41,$15.04,14.79
2015-09-30,214.67,$13.98,15.36
2015-06-30,233.22,$13.89,16.79
2015-03-31,257.62,$13.79,18.68
2014-12-31,244.88,$13.28,18.44
2014-09-30,207.87,$12.82,16.21
2014-06-30,203.62,$12.07,16.87
2014-03-31,197.11,$11.35,17.37
2013-12-31,178.49,$11.14,16.02
2013-09-30,153.38,$128.87,1.19
2013-06-30,156.0,$129.85,1.2
2013-03-31,173.52,$130.98,1.32
2012-12-31,172.65,$132.02,1.31
2012-09-30,162.04,$15.24,10.63
2012-06-30,162.06,$15.55,10.42
2012-03-31,146.67,$15.80,9.28
2011-12-31,136.45,$15.56,8.77
2011-09-30,132.2,$15.02,8.8
2011-06-30,144.21,$14.52,9.93
2011-03-31,146.83,$13.62,10.78
2010-12-31,147.68,$13.01,11.35
2010-09-30,112.42,$12.47,9.02
2010-06-30,107.03,$20.34,5.26
2010-03-31,104.79,$19.84,5.28
2009-12-31,106.64,$25.91,4.12
