Mobile Infrastructure PE Ratio Historical Data,Mobile Infrastructure PE Ratio Historical Data,Mobile Infrastructure PE Ratio Historical Data,Mobile Infrastructure PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.09,,0.0
2024-12-31,4.5,$-0.21,0.0
2024-09-30,3.28,$-0.90,0.0
2024-06-30,3.43,$-2.61,0.0
2024-03-31,3.65,$-2.55,0.0
2023-12-31,4.05,$-2.46,0.0
2023-09-30,3.49,$-1.77,0.0
2023-06-30,10.83,0,0.0
2023-03-31,10.21,0,0.0
2022-12-31,10.04,0,0.0
2022-09-30,9.84,0,0.0
2022-06-30,9.73,0,0.0
2022-03-31,9.71,0,0.0
