Stepan PE Ratio Historical Data,Stepan PE Ratio Historical Data,Stepan PE Ratio Historical Data,Stepan PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,58.88,,26.64
2024-12-31,64.7,$2.21,29.28
2024-09-30,76.87,$2.01,38.24
2024-06-30,83.14,$1.53,54.34
2024-03-31,89.16,$1.66,53.71
2023-12-31,93.23,$1.75,53.28
2023-09-30,73.59,$2.27,32.42
2023-06-30,93.42,$3.43,27.24
2023-03-31,100.33,$5.14,19.52
2022-12-31,103.31,$6.37,16.22
2022-09-30,90.59,$6.63,13.66
2022-06-30,97.71,$6.51,15.01
2022-03-31,94.98,$6.10,15.57
2021-12-31,119.08,$5.91,20.15
2021-09-30,107.9,$6.48,16.65
2021-06-30,114.6,$6.32,18.13
2021-03-31,120.84,$6.01,20.11
2020-12-31,113.15,$5.45,20.76
2020-09-30,103.1,$5.10,20.22
2020-06-30,91.63,$4.78,19.17
2020-03-31,83.24,$4.54,18.34
2019-12-31,96.11,$4.43,21.7
2019-09-30,90.81,$4.64,19.57
2019-06-30,85.77,$4.48,19.15
2019-03-31,81.44,$4.59,17.74
2018-12-31,68.67,$4.83,14.22
2018-09-30,80.75,$4.09,19.74
2018-06-30,72.21,$4.08,17.7
2018-03-31,76.76,$3.86,19.89
2017-12-31,72.68,$3.92,18.54
2017-09-30,76.79,$3.86,19.89
2017-06-30,79.77,$3.81,20.94
2017-03-31,71.97,$3.83,18.79
2016-12-31,74.22,$3.67,20.22
2016-09-30,66.01,$3.87,17.06
2016-06-30,53.94,$4.07,13.25
2016-03-31,49.93,$3.60,13.87
2015-12-31,44.71,$3.32,13.47
2015-09-30,37.31,$3.03,12.31
2015-06-30,48.32,$2.53,19.1
2015-03-31,37.07,$2.85,13.01
2014-12-31,35.5,$2.49,14.26
2014-09-30,39.15,$2.68,14.61
2014-06-30,46.46,$2.98,15.59
2014-03-31,56.57,$2.91,19.44
2013-12-31,57.34,$3.17,18.09
2013-09-30,50.3,$3.39,14.84
2013-06-30,48.32,$3.39,14.25
2013-03-31,54.67,$3.35,16.34
2012-12-31,48.0,$3.50,13.71
2012-09-30,41.46,$3.41,12.18
2012-06-30,40.51,$3.37,12.04
2012-03-31,37.65,$3.36,11.22
2011-12-31,34.27,$3.21,10.67
2011-09-30,28.61,$3.01,9.52
2011-06-30,30.09,$3.02,9.96
2011-03-31,30.65,$2.85,10.75
2010-12-31,32.12,$2.95,10.89
2010-09-30,24.8,$2.97,8.35
2010-06-30,28.59,$3.01,9.51
2010-03-31,23.27,$3.16,7.38
2009-12-31,26.86,$2.93,9.17
