Acme United PE Ratio Historical Data,Acme United PE Ratio Historical Data,Acme United PE Ratio Historical Data,Acme United PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,40.5,,16.67
2024-12-31,37.33,$2.43,15.36
2024-09-30,41.49,$4.89,8.49
2024-06-30,34.79,$4.93,7.06
2024-03-31,46.62,$4.80,9.71
2023-12-31,42.24,$4.69,9.01
2023-09-30,29.31,$1.65,17.76
2023-06-30,24.46,$1.09,22.44
2023-03-31,22.43,$0.84,26.7
2022-12-31,21.09,$0.78,27.04
2022-09-30,22.17,$1.55,14.3
2022-06-30,30.31,$2.03,14.93
2022-03-31,32.16,$3.14,10.24
2021-12-31,31.87,$3.44,9.26
2021-09-30,30.96,$3.38,9.16
2021-06-30,41.85,$3.34,12.53
2021-03-31,37.04,$2.44,15.18
2020-12-31,28.08,$2.28,12.32
2020-09-30,21.46,$2.02,10.63
2020-06-30,21.2,$1.86,11.4
2020-03-31,18.58,$1.71,10.87
2019-12-31,21.7,$1.59,13.65
2019-09-30,18.26,$1.48,12.34
2019-06-30,20.36,$1.41,14.44
2019-03-31,14.32,$1.31,10.93
2018-12-31,12.66,$1.28,9.89
2018-09-30,18.81,$0.93,20.22
2018-06-30,18.34,$1.02,17.98
2018-03-31,18.32,$1.10,16.66
2017-12-31,20.37,$1.07,19.04
2017-09-30,19.93,$1.40,14.24
2017-06-30,24.68,$1.48,16.68
2017-03-31,24.17,$1.64,14.74
2016-12-31,21.9,$1.62,13.52
2016-09-30,17.92,$1.59,11.27
2016-06-30,15.6,$1.52,10.26
2016-03-31,13.85,$1.35,10.26
2015-12-31,14.58,$1.31,11.13
2015-09-30,14.44,$1.38,10.46
2015-06-30,15.08,$1.39,10.85
2015-03-31,15.15,$1.37,11.06
2014-12-31,16.42,$1.36,12.07
2014-09-30,13.67,$1.32,10.35
2014-06-30,13.68,$1.27,10.77
2014-03-31,13.28,$1.23,10.8
2013-12-31,11.99,$1.22,9.83
2013-09-30,12.14,$1.20,10.12
2013-06-30,10.29,$1.17,8.8
2013-03-31,9.58,$1.15,8.33
2012-12-31,8.68,$1.13,7.68
2012-09-30,9.23,$1.09,8.47
2012-06-30,7.91,$1.05,7.53
2012-03-31,8.13,$0.95,8.56
2011-12-31,7.22,$0.91,7.93
2011-09-30,7.37,$0.88,8.37
2011-06-30,7.16,$0.85,8.42
2011-03-31,7.2,$0.77,9.35
2010-12-31,7.05,$0.80,8.81
2010-09-30,7.75,$0.96,8.07
2010-06-30,7.81,$0.99,7.89
2010-03-31,8.03,$0.91,8.82
2009-12-31,6.68,$0.85,7.86
