Eterna Therapeutics PE Ratio Historical Data,Eterna Therapeutics PE Ratio Historical Data,Eterna Therapeutics PE Ratio Historical Data,Eterna Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.27,,0.0
2024-12-31,0.29,$-7.17,0.0
2024-09-30,1.05,$-8.31,0.0
2024-06-30,1.83,$-4.42,0.0
2024-03-31,2.4,$-4.25,0.0
2023-12-31,1.8,$-4.08,0.0
2023-09-30,2.18,$-4.18,0.0
2023-06-30,2.26,$-5.64,0.0
2023-03-31,3.4,$-4.79,0.0
2022-12-31,3.22,$-7.13,0.0
2022-09-30,4.94,$-9.09,0.0
2022-06-30,10.35,$-40.60,0.0
2022-03-31,41.0,$-45.40,0.0
2021-12-31,83.4,$-42.00,0.0
2021-09-30,186.0,$-34.40,0.0
2021-06-30,360.2,$-20.40,0.0
2021-03-31,74.4,$-43.20,0.0
2020-12-31,89.6,$-60.00,0.0
2020-09-30,68.0,$-82.40,0.0
2020-06-30,88.0,$-67.20,0.0
2020-03-31,60.8,$-40.80,0.0
2019-12-31,88.0,$-28.40,0.0
2019-09-30,134.4,$-9.60,0.0
2019-06-30,151.6,$-1.60,0.0
2019-03-31,161.2,$-2.40,0.0
2018-12-31,78.0,$-4.40,0.0
2018-09-30,178.0,$-15.20,0.0
2018-06-30,177.6,$-21.20,0.0
2018-03-31,272.14,$-22.00,0.0
2017-12-31,168.4,$-17.20,0.0
2017-09-30,244.89,$-16.00,0.0
2017-06-30,272.0,$-25.60,0.0
2017-03-31,344.0,$-41.20,0.0
2016-12-31,340.0,$-59.60,0.0
2016-09-30,283.96,$-70.80,0.0
2016-06-30,344.0,$-78.40,0.0
2016-03-31,298.0,$-120.00,0.0
2015-12-31,320.0,$-140.00,0.0
2015-09-30,670.0,$-160.00,0.0
2015-06-30,465.0,$-160.00,0.0
2015-03-31,831.0,$-140.00,0.0
2014-12-31,880.0,$-120.00,0.0
2014-09-30,660.0,$-80.00,0.0
2014-06-30,1061.0,$-60.00,0.0
2014-03-31,1300.0,$-20.00,0.0
2013-12-31,1260.0,$-20.00,0.0
2013-09-30,696.0,0,0.0
2013-06-30,820.0,0,0.0
2013-03-31,520.0,$-20.00,0.0
2012-12-31,420.0,$-40.00,0.0
2012-09-30,419.8,$-100.00,0.0
2012-06-30,264.4,$-120.00,0.0
2012-03-31,498.0,$-140.00,0.0
2011-12-31,500.0,$-120.00,0.0
2011-09-30,760.0,$-60.00,0.0
2011-06-30,920.0,$-40.00,0.0
2011-03-31,1012.0,$-20.00,0.0
2010-12-31,760.0,$-20.00,0.0
2010-09-30,800.0,$-40.00,0.0
2010-06-30,1060.0,$-60.00,0.0
2010-03-31,996.4,$-40.00,0.0
2009-12-31,900.0,$-20.00,0.0
