TriplePoint Venture Growth BDC PE Ratio Historical Data,TriplePoint Venture Growth BDC PE Ratio Historical Data,TriplePoint Venture Growth BDC PE Ratio Historical Data,TriplePoint Venture Growth BDC PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.13,,8.7
2024-12-31,7.38,$0.82,9.0
2024-09-30,6.8,$0.21,32.38
2024-06-30,7.42,$-0.30,0.0
2024-03-31,8.39,$-1.11,0.0
2023-12-31,9.22,$-1.10,0.0
2023-09-30,8.55,$-0.64,0.0
2023-06-30,9.29,$-0.69,0.0
2023-03-31,9.21,$-0.56,0.0
2022-12-31,7.67,$-0.60,0.0
2022-09-30,7.66,$0.18,42.57
2022-06-30,8.74,$1.43,6.11
2022-03-31,11.65,$2.28,5.11
2021-12-31,11.73,$2.48,4.73
2021-09-30,10.14,$2.18,4.65
2021-06-30,9.5,$1.39,6.84
2021-03-31,8.84,$1.69,5.23
2020-12-31,7.79,$1.14,6.83
2020-09-30,6.37,$1.22,5.22
2020-06-30,5.75,$0.40,14.39
2020-03-31,3.1,$0.67,4.63
2019-12-31,7.38,$1.29,5.72
2019-09-30,8.34,$1.44,5.79
2019-06-30,7.05,$2.29,3.08
2019-03-31,6.64,$1.80,3.69
2018-12-31,5.11,$1.80,2.84
2018-09-30,6.32,$1.64,3.86
2018-06-30,5.63,$1.37,4.11
2018-03-31,5.26,$1.40,3.76
2017-12-31,5.42,$1.19,4.56
2017-09-30,5.58,$1.41,3.96
2017-06-30,5.4,$1.89,2.86
2017-03-31,5.51,$1.39,3.96
2016-12-31,4.53,$0.70,6.48
2016-09-30,3.96,$0.26,15.24
2016-06-30,3.84,$-0.11,0.0
2016-03-31,3.68,$0.32,11.5
2015-12-31,4.06,$1.04,3.9
2015-09-30,3.34,$1.52,2.2
2015-06-30,4.3,$1.65,2.61
2015-03-31,4.39,$1.51,2.91
2014-12-31,4.51,$1.24,3.64
