Mueller Industries PE Ratio Historical Data,Mueller Industries PE Ratio Historical Data,Mueller Industries PE Ratio Historical Data,Mueller Industries PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,79.59,,14.99
2024-12-31,79.36,$5.31,14.95
2024-09-30,73.91,$5.15,14.35
2024-06-30,56.62,$4.84,11.7
2024-03-31,53.63,$4.99,10.75
2023-12-31,46.71,$5.32,8.79
2023-09-30,37.09,$5.50,6.75
2023-06-30,42.91,$5.70,7.53
2023-03-31,35.98,$5.96,6.04
2022-12-31,28.77,$5.82,4.95
2022-09-30,28.88,$5.69,5.08
2022-06-30,25.79,$5.83,4.43
2022-03-31,26.1,$4.96,5.26
2021-12-31,28.48,$4.13,6.9
2021-09-30,19.67,$3.34,5.89
2021-06-30,20.67,$2.22,9.33
2021-03-31,19.68,$1.51,13.08
2020-12-31,16.66,$1.24,13.49
2020-09-30,12.8,$1.17,10.99
2020-06-30,12.53,$1.05,11.99
2020-03-31,11.25,$1.05,10.76
2019-12-31,14.85,$0.90,16.5
2019-09-30,13.37,$0.89,15.11
2019-06-30,13.6,$0.80,16.99
2019-03-31,14.5,$0.84,17.27
2018-12-31,10.78,$0.91,11.84
2018-09-30,13.31,$0.73,18.36
2018-06-30,13.51,$0.75,18.14
2018-03-31,11.94,$0.70,17.18
2017-12-31,16.11,$0.75,21.63
2017-09-30,15.85,$0.85,18.76
2017-06-30,13.76,$0.88,15.73
2017-03-31,15.42,$0.64,24.28
2016-12-31,17.95,$0.63,28.73
2016-09-30,14.53,$0.60,24.21
2016-06-30,14.25,$0.53,26.88
2016-03-31,13.1,$0.83,15.88
2015-12-31,12.04,$0.77,15.63
2015-09-30,13.11,$0.81,16.28
2015-06-30,15.35,$0.86,17.85
2015-03-31,15.94,$0.88,18.21
2014-12-31,15.03,$0.90,16.7
2014-09-30,12.53,$0.88,14.33
2014-06-30,12.88,$1.02,12.66
2014-03-31,13.1,$1.52,8.65
2013-12-31,13.73,$1.53,8.99
2013-09-30,12.11,$1.54,7.87
2013-06-30,10.94,$1.29,8.5
2013-03-31,11.54,$0.60,19.31
2012-12-31,10.8,$0.58,18.71
2012-09-30,9.79,$0.52,18.92
2012-06-30,9.15,$0.48,18.96
2012-03-31,9.74,$0.51,19.01
2011-12-31,8.22,$0.57,14.48
2011-09-30,8.23,$0.60,13.72
2011-06-30,8.07,$0.66,12.27
2011-03-31,7.77,$0.61,12.69
2010-12-31,6.92,$0.57,12.14
2010-09-30,5.59,$0.34,16.68
2010-06-30,5.17,$0.34,15.42
2010-03-31,5.61,$0.27,20.57
2009-12-31,5.18,$0.03,172.52
