Enlivex Therapeutics PE Ratio Historical Data,Enlivex Therapeutics PE Ratio Historical Data,Enlivex Therapeutics PE Ratio Historical Data,Enlivex Therapeutics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.09,,0.0
2024-09-30,1.68,$-0.98,0.0
2024-06-30,1.42,$-1.18,0.0
2024-03-31,3.79,$-1.39,0.0
2023-12-31,2.7,$-1.56,0.0
2023-09-30,1.58,$-1.47,0.0
2023-06-30,2.63,$-1.46,0.0
2023-03-31,3.64,$-1.63,0.0
2022-12-31,3.94,$-1.69,0.0
2022-09-30,4.25,$-1.56,0.0
2022-06-30,4.52,$-1.44,0.0
2022-03-31,5.59,$-1.07,0.0
2021-12-31,6.25,$-0.81,0.0
2021-09-30,9.88,$-0.98,0.0
2021-06-30,8.9,$-0.95,0.0
2021-03-31,11.09,$-1.01,0.0
2020-12-31,8.43,$-0.89,0.0
2020-09-30,5.94,$-0.74,0.0
2020-06-30,5.06,$-0.81,0.0
2020-03-31,4.68,$-0.72,0.0
2019-12-31,8.39,$-1.39,0.0
2019-09-30,26.71,$-1.11,0.0
2019-06-30,21.5,$-0.88,0.0
2019-03-31,12.4,$-0.74,0.0
2018-12-31,6.19,0,0.0
2018-09-30,10.8,$-1.36,0.0
2018-06-30,13.11,$-3.92,0.0
2018-03-31,15.84,$-7.92,0.0
2017-12-31,18.29,$-14.32,0.0
2017-09-30,17.32,$-20.56,0.0
2017-06-30,26.8,$-29.20,0.0
2017-03-31,30.4,$-34.00,0.0
2016-12-31,41.6,$-14.80,0.0
2016-09-30,69.2,$-20.80,0.0
2016-06-30,64.0,$-19.60,0.0
2016-03-31,99.6,$-21.20,0.0
2015-12-31,154.8,$-43.20,0.0
2015-09-30,203.6,$-38.40,0.0
2015-06-30,275.6,$-34.80,0.0
