Agree Realty PE Ratio Historical Data,Agree Realty PE Ratio Historical Data,Agree Realty PE Ratio Historical Data,Agree Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,76.26,,42.84
2024-12-31,70.45,$1.78,39.58
2024-09-30,74.83,$1.81,41.34
2024-06-30,60.89,$1.80,33.83
2024-03-31,55.69,$1.70,32.76
2023-12-31,60.58,$1.71,35.43
2023-09-30,52.5,$1.71,30.7
2023-06-30,61.4,$1.76,34.89
2023-03-31,63.72,$1.79,35.6
2022-12-31,65.21,$1.83,35.63
2022-09-30,61.49,$1.83,33.6
2022-06-30,65.0,$1.89,34.39
2022-03-31,59.22,$1.78,33.27
2021-12-31,63.02,$1.78,35.4
2021-09-30,57.93,$1.76,32.91
2021-06-30,61.1,$1.63,37.48
2021-03-31,57.8,$1.76,32.84
2020-12-31,56.64,$1.74,32.55
2020-09-30,53.62,$1.84,29.14
2020-06-30,54.84,$1.94,28.27
2020-03-31,51.19,$1.92,26.66
2019-12-31,57.49,$1.94,29.64
2019-09-30,59.43,$1.79,33.2
2019-06-30,51.64,$1.78,29.01
2019-03-31,55.41,$1.74,31.84
2018-12-31,46.87,$1.79,26.18
2018-09-30,41.71,$1.97,21.17
2018-06-30,41.01,$1.91,21.47
2018-03-31,36.96,$2.06,17.94
2017-12-31,39.15,$2.09,18.73
2017-09-30,36.98,$2.04,18.13
2017-06-30,34.21,$2.23,15.34
2017-03-31,35.39,$2.15,16.46
2016-12-31,33.63,$1.95,17.25
2016-09-30,35.72,$1.86,19.2
2016-06-30,34.52,$2.06,16.76
2016-03-31,27.25,$2.16,12.62
2015-12-31,23.79,$2.17,10.96
2015-09-30,20.6,$2.12,9.72
2015-06-30,19.82,$1.64,12.09
2015-03-31,22.05,$1.24,17.79
2014-12-31,20.51,$1.24,16.54
2014-09-30,17.81,$1.28,13.91
2014-06-30,19.36,$1.30,14.89
2014-03-31,19.2,$1.46,13.15
2013-12-31,18.07,$1.50,12.04
2013-09-30,18.52,$1.51,12.27
2013-06-30,17.87,$1.51,11.84
2013-03-31,17.97,$1.61,11.16
2012-12-31,15.76,$1.63,9.67
2012-09-30,14.77,$1.54,9.59
2012-06-30,12.62,$1.00,12.62
2012-03-31,12.65,$0.93,13.6
2011-12-31,13.42,$0.97,13.83
2011-09-30,11.79,$0.33,35.73
2011-06-30,11.87,$0.98,12.11
2011-03-31,11.73,$1.07,10.96
2010-12-31,13.44,$1.78,7.55
2010-09-30,12.71,$2.64,4.81
2010-06-30,11.51,$2.73,4.22
2010-03-31,11.04,$2.78,3.97
2009-12-31,11.01,$2.11,5.22
