InflaRx PE Ratio Historical Data,InflaRx PE Ratio Historical Data,InflaRx PE Ratio Historical Data,InflaRx PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.26,,0.0
2024-09-30,1.53,$-1.08,0.0
2024-06-30,1.74,$-0.89,0.0
2024-03-31,1.54,$-0.78,0.0
2023-12-31,1.63,$-0.86,0.0
2023-09-30,2.98,$-0.74,0.0
2023-06-30,4.46,$-0.78,0.0
2023-03-31,1.94,$-0.62,0.0
2022-12-31,3.1,$-0.71,0.0
2022-09-30,2.64,$-0.86,0.0
2022-06-30,1.45,$-1.00,0.0
2022-03-31,1.83,$-1.41,0.0
2021-12-31,4.76,$-1.27,0.0
2021-09-30,2.59,$-1.32,0.0
2021-06-30,2.97,$-1.29,0.0
2021-03-31,3.9,$-1.31,0.0
2020-12-31,5.03,$-1.44,0.0
2020-09-30,4.26,$-1.64,0.0
2020-06-30,4.59,$-1.97,0.0
2020-03-31,3.82,$-2.21,0.0
2019-12-31,3.96,$-2.29,0.0
2019-09-30,2.47,$-2.17,0.0
2019-06-30,3.16,$-1.86,0.0
2019-03-31,37.79,$-1.32,0.0
2018-12-31,36.37,$-1.38,0.0
